tas_anomaly,model,scenario,year,month
-0.1756073,NorESM2-MM,ssp245,1850,1
1.0762542,NorESM2-MM,ssp245,1850,2
-0.36271057,NorESM2-MM,ssp245,1850,3
-0.67164004,NorESM2-MM,ssp245,1850,4
-0.45630798,NorESM2-MM,ssp245,1850,5
-0.5210663,NorESM2-MM,ssp245,1850,6
-0.8324982,NorESM2-MM,ssp245,1850,7
-0.39466247,NorESM2-MM,ssp245,1850,8
-0.895578,NorESM2-MM,ssp245,1850,9
-1.1496674,NorESM2-MM,ssp245,1850,10
-0.39563903,NorESM2-MM,ssp245,1850,11
-1.7967926,NorESM2-MM,ssp245,1850,12
0.37065735,NorESM2-MM,ssp245,1851,1
-0.32755432,NorESM2-MM,ssp245,1851,2
-1.641977,NorESM2-MM,ssp245,1851,3
-0.3518463,NorESM2-MM,ssp245,1851,4
-1.0305878,NorESM2-MM,ssp245,1851,5
-1.2568451,NorESM2-MM,ssp245,1851,6
-1.2666107,NorESM2-MM,ssp245,1851,7
-1.0548493,NorESM2-MM,ssp245,1851,8
-0.8301178,NorESM2-MM,ssp245,1851,9
-1.168039,NorESM2-MM,ssp245,1851,10
-0.65778506,NorESM2-MM,ssp245,1851,11
-2.0074553,NorESM2-MM,ssp245,1851,12
-0.48227844,NorESM2-MM,ssp245,1852,1
-1.7410675,NorESM2-MM,ssp245,1852,2
0.44966736,NorESM2-MM,ssp245,1852,3
0.28246155,NorESM2-MM,ssp245,1852,4
-0.554361,NorESM2-MM,ssp245,1852,5
-0.370401,NorESM2-MM,ssp245,1852,6
-1.1715485,NorESM2-MM,ssp245,1852,7
-0.72928774,NorESM2-MM,ssp245,1852,8
-0.6092926,NorESM2-MM,ssp245,1852,9
-0.6592804,NorESM2-MM,ssp245,1852,10
-1.3601471,NorESM2-MM,ssp245,1852,11
-1.1088349,NorESM2-MM,ssp245,1852,12
-1.5665985,NorESM2-MM,ssp245,1853,1
0.4057831,NorESM2-MM,ssp245,1853,2
-0.46705016,NorESM2-MM,ssp245,1853,3
-0.914621,NorESM2-MM,ssp245,1853,4
-1.4368073,NorESM2-MM,ssp245,1853,5
-1.2379547,NorESM2-MM,ssp245,1853,6
-1.1213166,NorESM2-MM,ssp245,1853,7
-1.2701203,NorESM2-MM,ssp245,1853,8
-1.0612885,NorESM2-MM,ssp245,1853,9
-1.2408539,NorESM2-MM,ssp245,1853,10
-0.78263247,NorESM2-MM,ssp245,1853,11
-3.1338897,NorESM2-MM,ssp245,1853,12
0.7905487,NorESM2-MM,ssp245,1854,1
-0.57688296,NorESM2-MM,ssp245,1854,2
-0.012551874,NorESM2-MM,ssp245,1854,3
-1.5889069,NorESM2-MM,ssp245,1854,4
-1.1344696,NorESM2-MM,ssp245,1854,5
-0.335672,NorESM2-MM,ssp245,1854,6
-0.69700015,NorESM2-MM,ssp245,1854,7
-0.9871613,NorESM2-MM,ssp245,1854,8
-1.1287018,NorESM2-MM,ssp245,1854,9
-0.8977753,NorESM2-MM,ssp245,1854,10
-0.33313903,NorESM2-MM,ssp245,1854,11
-1.2586457,NorESM2-MM,ssp245,1854,12
