tas_anomaly,model,scenario,year,month
-1.1867905,E3SM-1-1,ssp245,1850,1
-1.9091415,E3SM-1-1,ssp245,1850,2
-1.4761887,E3SM-1-1,ssp245,1850,3
-1.3720932,E3SM-1-1,ssp245,1850,4
-1.5731125,E3SM-1-1,ssp245,1850,5
-1.8147202,E3SM-1-1,ssp245,1850,6
-1.7738571,E3SM-1-1,ssp245,1850,7
-1.6542587,E3SM-1-1,ssp245,1850,8
-1.6991196,E3SM-1-1,ssp245,1850,9
-1.1351547,E3SM-1-1,ssp245,1850,10
-1.9374619,E3SM-1-1,ssp245,1850,11
-2.3930588,E3SM-1-1,ssp245,1850,12
-2.5708542,E3SM-1-1,ssp245,1851,1
-2.6689072,E3SM-1-1,ssp245,1851,2
-2.1205063,E3SM-1-1,ssp245,1851,3
-2.2603378,E3SM-1-1,ssp245,1851,4
-1.4938889,E3SM-1-1,ssp245,1851,5
-1.2379684,E3SM-1-1,ssp245,1851,6
-1.6710129,E3SM-1-1,ssp245,1851,7
-1.9795761,E3SM-1-1,ssp245,1851,8
-1.9676437,E3SM-1-1,ssp245,1851,9
-0.8467026,E3SM-1-1,ssp245,1851,10
-0.043296814,E3SM-1-1,ssp245,1851,11
-0.87566376,E3SM-1-1,ssp245,1851,12
-0.9958725,E3SM-1-1,ssp245,1852,1
-0.07485199,E3SM-1-1,ssp245,1852,2
-0.97670746,E3SM-1-1,ssp245,1852,3
-2.314415,E3SM-1-1,ssp245,1852,4
-3.1571884,E3SM-1-1,ssp245,1852,5
-2.2801743,E3SM-1-1,ssp245,1852,6
-1.2902756,E3SM-1-1,ssp245,1852,7
-1.3450851,E3SM-1-1,ssp245,1852,8
-1.6979294,E3SM-1-1,ssp245,1852,9
-1.460289,E3SM-1-1,ssp245,1852,10
-2.1856308,E3SM-1-1,ssp245,1852,11
-1.7219162,E3SM-1-1,ssp245,1852,12
-1.9657211,E3SM-1-1,ssp245,1853,1
-2.4352036,E3SM-1-1,ssp245,1853,2
-1.4572372,E3SM-1-1,ssp245,1853,3
-0.91606903,E3SM-1-1,ssp245,1853,4
-1.0996017,E3SM-1-1,ssp245,1853,5
-1.9262924,E3SM-1-1,ssp245,1853,6
-1.9264145,E3SM-1-1,ssp245,1853,7
-1.8034897,E3SM-1-1,ssp245,1853,8
-1.0898056,E3SM-1-1,ssp245,1853,9
-0.7144394,E3SM-1-1,ssp245,1853,10
-0.5660324,E3SM-1-1,ssp245,1853,11
0.28775787,E3SM-1-1,ssp245,1853,12
-0.2863388,E3SM-1-1,ssp245,1854,1
-0.09120941,E3SM-1-1,ssp245,1854,2
0.26981354,E3SM-1-1,ssp245,1854,3
-0.8849411,E3SM-1-1,ssp245,1854,4
-0.50743866,E3SM-1-1,ssp245,1854,5
-0.948082,E3SM-1-1,ssp245,1854,6
-1.3925095,E3SM-1-1,ssp245,1854,7
-1.2272263,E3SM-1-1,ssp245,1854,8
-1.4202499,E3SM-1-1,ssp245,1854,9
-1.3431015,E3SM-1-1,ssp245,1854,10
-1.5604172,E3SM-1-1,ssp245,1854,11
-1.1430283,E3SM-1-1,ssp245,1854,12
-2.215538,E3SM-1-1,ssp245,1855,1
-2.225853,E3SM-1-1,ssp245,1855,2
-1.6450729,E3SM-1-1,ssp245,1855,3
-2.0659103,E3SM-1-1,ssp245,1855,4
-2.2973862,E3SM-1-1,ssp245,1855,5
-2.3978195,E3SM-1-1,ssp245,1855,6
-1.7611313,E3SM-1-1,ssp245,1855,7
-1.8715744,E3SM-1-1,ssp245,1855,8
-1.6634445,E3SM-1-1,ssp245,1855,9
-0.40755463,E3SM-1-1,ssp245,1855,10
-0.27373505,E3SM-1-1,ssp245,1855,11
-0.80080414,E3SM-1-1,ssp245,1855,12
-1.3835983,E3SM-1-1,ssp245,1856,1
-0.8918381,E3SM-1-1,ssp245,1856,2
-0.14958954,E3SM-1-1,ssp245,1856,3
-1.8723068,E3SM-1-1,ssp245,1856,4
-1.7654343,E3SM-1-1,ssp245,1856,5
-1.8169479,E3SM-1-1,ssp245,1856,6
-0.98519135,E3SM-1-1,ssp245,1856,7
-0.8814316,E3SM-1-1,ssp245,1856,8
-0.76003265,E3SM-1-1,ssp245,1856,9
0.59137726,E3SM-1-1,ssp245,1856,10
-0.97841644,E3SM-1-1,ssp245,1856,11
-2.896843,E3SM-1-1,ssp245,1856,12
-3.1822433,E3SM-1-1,ssp245,1857,1
-2.8297653,E3SM-1-1,ssp245,1857,2
-1.4486008,E3SM-1-1,ssp245,1857,3
-2.2931442,E3SM-1-1,ssp245,1857,4
-2.3454208,E3SM-1-1,ssp245,1857,5
-2.449913,E3SM-1-1,ssp245,1857,6
-1.2172165,E3SM-1-1,ssp245,1857,7
-1.3512192,E3SM-1-1,ssp245,1857,8
-2.3312607,E3SM-1-1,ssp245,1857,9
-1.3824081,E3SM-1-1,ssp245,1857,10
-1.0382614,E3SM-1-1,ssp245,1857,11
-1.0550156,E3SM-1-1,ssp245,1857,12
-1.9331589,E3SM-1-1,ssp245,1858,1
