tas_anomaly,model,scenario,year,month
-0.4539261,CanESM5,ssp245,1850,1
-1.794014,CanESM5,ssp245,1850,2
0.31279755,CanESM5,ssp245,1850,3
1.4955368,CanESM5,ssp245,1850,4
-2.0825272,CanESM5,ssp245,1850,5
-2.704506,CanESM5,ssp245,1850,6
0.16646576,CanESM5,ssp245,1850,7
-0.5758438,CanESM5,ssp245,1850,8
-0.27381134,CanESM5,ssp245,1850,9
-3.167488,CanESM5,ssp245,1850,10
-1.8909988,CanESM5,ssp245,1850,11
-0.4392166,CanESM5,ssp245,1850,12
-1.2675247,CanESM5,ssp245,1851,1
0.8732834,CanESM5,ssp245,1851,2
-2.0470352,CanESM5,ssp245,1851,3
-1.7323074,CanESM5,ssp245,1851,4
-3.218422,CanESM5,ssp245,1851,5
-2.1338577,CanESM5,ssp245,1851,6
-0.2737198,CanESM5,ssp245,1851,7
-2.0669632,CanESM5,ssp245,1851,8
-3.3342667,CanESM5,ssp245,1851,9
-0.21567535,CanESM5,ssp245,1851,10
-2.57975,CanESM5,ssp245,1851,11
0.6498642,CanESM5,ssp245,1851,12
2.0414658,CanESM5,ssp245,1852,1
-0.22766876,CanESM5,ssp245,1852,2
-0.85334015,CanESM5,ssp245,1852,3
0.69490814,CanESM5,ssp245,1852,4
-1.301857,CanESM5,ssp245,1852,5
0.94023895,CanESM5,ssp245,1852,6
-1.3556595,CanESM5,ssp245,1852,7
-3.0954056,CanESM5,ssp245,1852,8
-0.7961197,CanESM5,ssp245,1852,9
0.22805023,CanESM5,ssp245,1852,10
-3.7457352,CanESM5,ssp245,1852,11
-2.1346512,CanESM5,ssp245,1852,12
-6.237343,CanESM5,ssp245,1853,1
-1.6444778,CanESM5,ssp245,1853,2
-2.3798294,CanESM5,ssp245,1853,3
-2.5381851,CanESM5,ssp245,1853,4
-1.7605972,CanESM5,ssp245,1853,5
-0.033851624,CanESM5,ssp245,1853,6
0.6099167,CanESM5,ssp245,1853,7
-0.2914505,CanESM5,ssp245,1853,8
-0.20670319,CanESM5,ssp245,1853,9
-0.88422394,CanESM5,ssp245,1853,10
-1.8175125,CanESM5,ssp245,1853,11
-1.8343277,CanESM5,ssp245,1853,12
0.75377655,CanESM5,ssp245,1854,1
-1.5825882,CanESM5,ssp245,1854,2
-0.6576004,CanESM5,ssp245,1854,3
0.58245087,CanESM5,ssp245,1854,4
-1.6236954,CanESM5,ssp245,1854,5
-2.788948,CanESM5,ssp245,1854,6
-2.1174698,CanESM5,ssp245,1854,7
-1.4451065,CanESM5,ssp245,1854,8
0.27300262,CanESM5,ssp245,1854,9
-1.107521,CanESM5,ssp245,1854,10
-1.9446182,CanESM5,ssp245,1854,11
0.11867523,CanESM5,ssp245,1854,12
1.0718307,CanESM5,ssp245,1855,1
-2.6956253,CanESM5,ssp245,1855,2
-0.80179596,CanESM5,ssp245,1855,3
0.17839813,CanESM5,ssp245,1855,4
-0.7400894,CanESM5,ssp245,1855,5
-2.0659866,CanESM5,ssp245,1855,6
-3.1036758,CanESM5,ssp245,1855,7
-1.7528152,CanESM5,ssp245,1855,8
-2.4194717,CanESM5,ssp245,1855,9
-2.0123367,CanESM5,ssp245,1855,10
-2.738411,CanESM5,ssp245,1855,11
2.7885666,CanESM5,ssp245,1855,12
0.94356537,CanESM5,ssp245,1856,1
-2.9160843,CanESM5,ssp245,1856,2
-1.5236893,CanESM5,ssp245,1856,3
-0.90073395,CanESM5,ssp245,1856,4
0.09270477,CanESM5,ssp245,1856,5
0.53710175,CanESM5,ssp245,1856,6
-2.7333755,CanESM5,ssp245,1856,7
-1.7735367,CanESM5,ssp245,1856,8
-3.1148758,CanESM5,ssp245,1856,9
0.00032806396,CanESM5,ssp245,1856,10
-0.6050186,CanESM5,ssp245,1856,11
-4.851021,CanESM5,ssp245,1856,12
0.71993256,CanESM5,ssp245,1857,1
-0.40372467,CanESM5,ssp245,1857,2
-4.6799088,CanESM5,ssp245,1857,3
-0.9417496,CanESM5,ssp245,1857,4
-1.971962,CanESM5,ssp245,1857,5
-0.84949493,CanESM5,ssp245,1857,6
0.23986053,CanESM5,ssp245,1857,7
1.1422043,CanESM5,ssp245,1857,8
-3.5852127,CanESM5,ssp245,1857,9
-3.982277,CanESM5,ssp245,1857,10
-4.6330643,CanESM5,ssp245,1857,11
-1.908638,CanESM5,ssp245,1857,12
2.067253,CanESM5,ssp245,1858,1
-1.8429642,CanESM5,ssp245,1858,2
-0.5594864,CanESM5,ssp245,1858,3
1.1548386,CanESM5,ssp245,1858,4
-1.5275955,CanESM5,ssp245,1858,5
-1.2688675,CanESM5,ssp245,1858,6
-0.6009903,CanESM5,ssp245,1858,7
-0.76496124,CanESM5,ssp245,1858,8
-2.2373428,CanESM5,ssp245,1858,9
-1.7534866,CanESM5,ssp245,1858,10
-0.4851761,CanESM5,ssp245,1858,11
4.585594,CanESM5,ssp245,1858,12
-0.79480743,CanESM5,ssp245,1859,1
-0.85611725,CanESM5,ssp245,1859,2
-1.9099503,CanESM5,ssp245,1859,3
0.3121872,CanESM5,ssp245,1859,4
-0.065071106,CanESM5,ssp245,1859,5
-1.9057999,CanESM5,ssp245,1859,6
-0.96012115,CanESM5,ssp245,1859,7
-0.99521637,CanESM5,ssp245,1859,8
-0.8961868,CanESM5,ssp245,1859,9
1.7190781,CanESM5,ssp245,1859,10
-0.91858673,CanESM5,ssp245,1859,11
1.6172714,CanESM5,ssp245,1859,12
2.955284,CanESM5,ssp245,1860,1
2.28051,CanESM5,ssp245,1860,2
-1.0082474,CanESM5,ssp245,1860,3
-0.9964676,CanESM5,ssp245,1860,4
-1.085762,CanESM5,ssp245,1860,5
-2.4788284,CanESM5,ssp245,1860,6
-1.8413773,CanESM5,ssp245,1860,7
-1.3959427,CanESM5,ssp245,1860,8
0.18587494,CanESM5,ssp245,1860,9
-4.6192703,CanESM5,ssp245,1860,10
-4.9782486,CanESM5,ssp245,1860,11
-1.1591873,CanESM5,ssp245,1860,12
-1.1785965,CanESM5,ssp245,1861,1
-2.7372513,CanESM5,ssp245,1861,2
-1.4845352,CanESM5,ssp245,1861,3
-1.4301224,CanESM5,ssp245,1861,4
-0.103401184,CanESM5,ssp245,1861,5
-0.45658112,CanESM5,ssp245,1861,6
-1.0010147,CanESM5,ssp245,1861,7
1.3947983,CanESM5,ssp245,1861,8
1.1051865,CanESM5,ssp245,1861,9
-0.51239777,CanESM5,ssp245,1861,10
-0.56287384,CanESM5,ssp245,1861,11
-3.9222488,CanESM5,ssp245,1861,12
-1.4088516,CanESM5,ssp245,1862,1
2.889305,CanESM5,ssp245,1862,2
-0.359169,CanESM5,ssp245,1862,3
-0.8567276,CanESM5,ssp245,1862,4
-0.74430084,CanESM5,ssp245,1862,5
-1.5020218,CanESM5,ssp245,1862,6
-0.9774246,CanESM5,ssp245,1862,7
-0.4374466,CanESM5,ssp245,1862,8
-0.87436676,CanESM5,ssp245,1862,9
0.1745224,CanESM5,ssp245,1862,10
-1.5626907,CanESM5,ssp245,1862,11
-1.8378067,CanESM5,ssp245,1862,12
-0.7833328,CanESM5,ssp245,1863,1
0.8113327,CanESM5,ssp245,1863,2
-3.284523,CanESM5,ssp245,1863,3
-0.09064484,CanESM5,ssp245,1863,4
-2.7143326,CanESM5,ssp245,1863,5
1.2163315,CanESM5,ssp245,1863,6
0.48155975,CanESM5,ssp245,1863,7
-1.8793411,CanESM5,ssp245,1863,8
-0.77680206,CanESM5,ssp245,1863,9
-1.4753494,CanESM5,ssp245,1863,10
2.0619125,CanESM5,ssp245,1863,11
-1.150734,CanESM5,ssp245,1863,12
-1.30793,CanESM5,ssp245,1864,1
-1.4235001,CanESM5,ssp245,1864,2
-2.3389664,CanESM5,ssp245,1864,3
-0.9774246,CanESM5,ssp245,1864,4
-1.0940323,CanESM5,ssp245,1864,5
-0.8492508,CanESM5,ssp245,1864,6
-2.9582596,CanESM5,ssp245,1864,7
-3.2660294,CanESM5,ssp245,1864,8
-4.4055557,CanESM5,ssp245,1864,9
-2.883522,CanESM5,ssp245,1864,10
-1.1156387,CanESM5,ssp245,1864,11
0.18282318,CanESM5,ssp245,1864,12
-0.17700958,CanESM5,ssp245,1865,1
0.8519516,CanESM5,ssp245,1865,2
-0.08203888,CanESM5,ssp245,1865,3
-1.4728775,CanESM5,ssp245,1865,4
0.40306854,CanESM5,ssp245,1865,5
-2.5804825,CanESM5,ssp245,1865,6
-2.7951736,CanESM5,ssp245,1865,7
-3.2839127,CanESM5,ssp245,1865,8
-3.176674,CanESM5,ssp245,1865,9
-2.090065,CanESM5,ssp245,1865,10
-3.1652298,CanESM5,ssp245,1865,11
4.1507187,CanESM5,ssp245,1865,12
-3.6684036,CanESM5,ssp245,1866,1
-0.8011856,CanESM5,ssp245,1866,2
-1.0115128,CanESM5,ssp245,1866,3
-0.52280426,CanESM5,ssp245,1866,4
-1.2122574,CanESM5,ssp245,1866,5
-1.197731,CanESM5,ssp245,1866,6
-1.3174515,CanESM5,ssp245,1866,7
-1.4956436,CanESM5,ssp245,1866,8
-1.2963638,CanESM5,ssp245,1866,9
1.2977524,CanESM5,ssp245,1866,10
1.5021286,CanESM5,ssp245,1866,11
-2.3292313,CanESM5,ssp245,1866,12
-1.1539078,CanESM5,ssp245,1867,1
-1.1590652,CanESM5,ssp245,1867,2
-1.667366,CanESM5,ssp245,1867,3
0.087150574,CanESM5,ssp245,1867,4
-2.4262161,CanESM5,ssp245,1867,5
-3.1224747,CanESM5,ssp245,1867,6
-2.2690506,CanESM5,ssp245,1867,7
-0.29401398,CanESM5,ssp245,1867,8
-0.18961334,CanESM5,ssp245,1867,9
-1.4986343,CanESM5,ssp245,1867,10
-0.09009552,CanESM5,ssp245,1867,11
-0.35904694,CanESM5,ssp245,1867,12
-2.3345413,CanESM5,ssp245,1868,1
-1.5210953,CanESM5,ssp245,1868,2
-1.8375626,CanESM5,ssp245,1868,3
-1.8628922,CanESM5,ssp245,1868,4
-1.4963455,CanESM5,ssp245,1868,5
-1.8756485,CanESM5,ssp245,1868,6
-1.9805069,CanESM5,ssp245,1868,7
-2.589363,CanESM5,ssp245,1868,8
-2.603798,CanESM5,ssp245,1868,9
-3.3126907,CanESM5,ssp245,1868,10
-4.1329117,CanESM5,ssp245,1868,11
2.2326584,CanESM5,ssp245,1868,12
-0.8763199,CanESM5,ssp245,1869,1
-2.2500687,CanESM5,ssp245,1869,2
-2.8978653,CanESM5,ssp245,1869,3
-0.7676163,CanESM5,ssp245,1869,4
-1.8924637,CanESM5,ssp245,1869,5
-1.937355,CanESM5,ssp245,1869,6
-0.33472443,CanESM5,ssp245,1869,7
2.3817062,CanESM5,ssp245,1869,8
-2.815651,CanESM5,ssp245,1869,9
-1.8328934,CanESM5,ssp245,1869,10
2.252037,CanESM5,ssp245,1869,11
-1.3333206,CanESM5,ssp245,1869,12
-0.86569977,CanESM5,ssp245,1870,1
2.6648788,CanESM5,ssp245,1870,2
-1.7108536,CanESM5,ssp245,1870,3
-1.9530106,CanESM5,ssp245,1870,4
-0.31897736,CanESM5,ssp245,1870,5
-0.54099274,CanESM5,ssp245,1870,6
1.6083298,CanESM5,ssp245,1870,7
-0.52796173,CanESM5,ssp245,1870,8
-0.39087677,CanESM5,ssp245,1870,9
1.8579941,CanESM5,ssp245,1870,10
3.4453049,CanESM5,ssp245,1870,11
-0.097480774,CanESM5,ssp245,1870,12
1.1212082,CanESM5,ssp245,1871,1
-2.0191727,CanESM5,ssp245,1871,2
0.17943573,CanESM5,ssp245,1871,3
-2.525734,CanESM5,ssp245,1871,4
-1.3259354,CanESM5,ssp245,1871,5
-3.5601883,CanESM5,ssp245,1871,6
-2.4012527,CanESM5,ssp245,1871,7
-1.9148636,CanESM5,ssp245,1871,8
-2.645424,CanESM5,ssp245,1871,9
-2.8700027,CanESM5,ssp245,1871,10
0.4752121,CanESM5,ssp245,1871,11
-1.693428,CanESM5,ssp245,1871,12
2.0387497,CanESM5,ssp245,1872,1
-2.1719437,CanESM5,ssp245,1872,2
-0.77814484,CanESM5,ssp245,1872,3
-2.2949905,CanESM5,ssp245,1872,4
-1.247139,CanESM5,ssp245,1872,5
-1.8057938,CanESM5,ssp245,1872,6
-1.2128067,CanESM5,ssp245,1872,7
-1.484169,CanESM5,ssp245,1872,8
-2.3344803,CanESM5,ssp245,1872,9
-2.1814651,CanESM5,ssp245,1872,10
-0.23715973,CanESM5,ssp245,1872,11
0.89650726,CanESM5,ssp245,1872,12
-3.349617,CanESM5,ssp245,1873,1
-4.042488,CanESM5,ssp245,1873,2
-2.7189407,CanESM5,ssp245,1873,3
-1.1277847,CanESM5,ssp245,1873,4
-0.37290192,CanESM5,ssp245,1873,5
2.9081955,CanESM5,ssp245,1873,6
-1.9536514,CanESM5,ssp245,1873,7
-1.7839737,CanESM5,ssp245,1873,8
-3.8754349,CanESM5,ssp245,1873,9
-2.3360367,CanESM5,ssp245,1873,10
-1.741951,CanESM5,ssp245,1873,11
-2.1610794,CanESM5,ssp245,1873,12
1.7507248,CanESM5,ssp245,1874,1
0.8570175,CanESM5,ssp245,1874,2
