tas_anomaly,model,scenario,year,month
-0.9056792,E3SM-1-1,ssp245,1850,1
-6.832376,E3SM-1-1,ssp245,1850,2
-0.5191741,E3SM-1-1,ssp245,1850,3
1.7806001,E3SM-1-1,ssp245,1850,4
-1.0220122,E3SM-1-1,ssp245,1850,5
-3.8114715,E3SM-1-1,ssp245,1850,6
-1.6689544,E3SM-1-1,ssp245,1850,7
-1.6595244,E3SM-1-1,ssp245,1850,8
-3.0124297,E3SM-1-1,ssp245,1850,9
-0.99811697,E3SM-1-1,ssp245,1850,10
-1.8159881,E3SM-1-1,ssp245,1850,11
-2.239572,E3SM-1-1,ssp245,1850,12
-4.3635345,E3SM-1-1,ssp245,1851,1
-1.685678,E3SM-1-1,ssp245,1851,2
-5.313791,E3SM-1-1,ssp245,1851,3
0.6349397,E3SM-1-1,ssp245,1851,4
-3.4741607,E3SM-1-1,ssp245,1851,5
-0.9318328,E3SM-1-1,ssp245,1851,6
-2.5173125,E3SM-1-1,ssp245,1851,7
-1.7659698,E3SM-1-1,ssp245,1851,8
-1.0571685,E3SM-1-1,ssp245,1851,9
-1.9118743,E3SM-1-1,ssp245,1851,10
-1.2333465,E3SM-1-1,ssp245,1851,11
-1.2602935,E3SM-1-1,ssp245,1851,12
-1.2649322,E3SM-1-1,ssp245,1852,1
0.9613557,E3SM-1-1,ssp245,1852,2
2.118216,E3SM-1-1,ssp245,1852,3
2.658896,E3SM-1-1,ssp245,1852,4
1.6202912,E3SM-1-1,ssp245,1852,5
-1.3147063,E3SM-1-1,ssp245,1852,6
0.60780954,E3SM-1-1,ssp245,1852,7
-1.5641875,E3SM-1-1,ssp245,1852,8
-3.0308318,E3SM-1-1,ssp245,1852,9
-0.7875762,E3SM-1-1,ssp245,1852,10
-2.0785613,E3SM-1-1,ssp245,1852,11
-0.8023772,E3SM-1-1,ssp245,1852,12
-2.267984,E3SM-1-1,ssp245,1853,1
-1.3463225,E3SM-1-1,ssp245,1853,2
-0.7580657,E3SM-1-1,ssp245,1853,3
-4.192056,E3SM-1-1,ssp245,1853,4
-1.6765532,E3SM-1-1,ssp245,1853,5
-2.0273223,E3SM-1-1,ssp245,1853,6
0.2330842,E3SM-1-1,ssp245,1853,7
-0.21225882,E3SM-1-1,ssp245,1853,8
1.957663,E3SM-1-1,ssp245,1853,9
-2.9019866,E3SM-1-1,ssp245,1853,10
-2.4618926,E3SM-1-1,ssp245,1853,11
1.5584016,E3SM-1-1,ssp245,1853,12
0.24581003,E3SM-1-1,ssp245,1854,1
-1.802774,E3SM-1-1,ssp245,1854,2
-3.6503692,E3SM-1-1,ssp245,1854,3
-2.2093902,E3SM-1-1,ssp245,1854,4
0.39589548,E3SM-1-1,ssp245,1854,5
0.08489084,E3SM-1-1,ssp245,1854,6
-1.7273345,E3SM-1-1,ssp245,1854,7
-2.598184,E3SM-1-1,ssp245,1854,8
-1.3586516,E3SM-1-1,ssp245,1854,9
-1.077066,E3SM-1-1,ssp245,1854,10
-0.33008718,E3SM-1-1,ssp245,1854,11
1.0400605,E3SM-1-1,ssp245,1854,12
0.5273347,E3SM-1-1,ssp245,1855,1
2.4191804,E3SM-1-1,ssp245,1855,2
-1.9397979,E3SM-1-1,ssp245,1855,3
-2.7038054,E3SM-1-1,ssp245,1855,4
-0.8106475,E3SM-1-1,ssp245,1855,5
-1.8523345,E3SM-1-1,ssp245,1855,6
-2.3905425,E3SM-1-1,ssp245,1855,7
-1.5553985,E3SM-1-1,ssp245,1855,8
-0.9613738,E3SM-1-1,ssp245,1855,9
-1.621469,E3SM-1-1,ssp245,1855,10
0.21517038,E3SM-1-1,ssp245,1855,11
-1.4441009,E3SM-1-1,ssp245,1855,12
-2.0338836,E3SM-1-1,ssp245,1856,1
-2.2600493,E3SM-1-1,ssp245,1856,2
-2.3272796,E3SM-1-1,ssp245,1856,3
-1.0972381,E3SM-1-1,ssp245,1856,4
2.5325227,E3SM-1-1,ssp245,1856,5
-2.0853667,E3SM-1-1,ssp245,1856,6
-1.6399016,E3SM-1-1,ssp245,1856,7
-2.6331267,E3SM-1-1,ssp245,1856,8
-0.9226165,E3SM-1-1,ssp245,1856,9
-0.45014334,E3SM-1-1,ssp245,1856,10
