time,psis,tair,D,Ca,al
2000-01-01,-0.046328712,15.796936,1.4235516,420,10
2000-01-02,-0.04693025,17.067413,1.7874508,420,10
2000-01-03,-0.04784667,12.001923,1.310853,420,10
2000-01-04,-0.04806854,10.18219,0.8051882,420,10
2000-01-05,-0.046674117,1.7268982,1.7329903,420,10
2000-01-06,-0.044860117,8.207733,1.8060265,420,10
2000-01-07,-0.045481827,6.541626,2.5985284,420,10
2000-01-08,-0.04296306,12.7821045,2.0638437,420,10
2000-01-09,-0.040034994,17.105957,0.6741047,420,10
2000-01-10,-0.03585709,14.782288,2.2531366,420,10
2000-01-11,-0.03427013,14.012299,2.683074,420,10
2000-01-12,-0.034727473,16.883118,2.772688,420,10
2000-01-13,-0.03710229,12.472534,1.5218573,420,10
2000-01-14,-0.032723185,10.944519,2.5538998,420,10
2000-01-15,-0.03014867,12.198761,2.247942,420,10
2000-01-16,-0.030638238,13.464172,2.917963,420,10
2000-01-17,-0.032628737,13.439392,2.2929564,420,10
2000-01-18,-0.03456001,12.536987,2.7019491,420,10
2000-01-19,-0.036212496,4.867798,0.84744835,420,10
2000-01-20,-0.03679213,9.325806,0.9047661,420,10
2000-01-21,-0.03767815,9.39978,2.9563313,420,10
2000-01-22,-0.038855195,2.534027,1.5971498,420,10
2000-01-23,-0.037765335,7.306427,0.75768375,420,10
2000-01-24,-0.03704125,6.3406982,1.4241934,420,10
2000-01-25,-0.037767135,5.0344543,1.9552126,420,10
2000-01-26,-0.038770802,-0.37698364,2.1083932,420,10
2000-01-27,-0.039039917,1.4717102,2.5080795,420,10
2000-01-28,-0.03261207,3.976654,1.0668178,420,10
2000-01-29,-0.026548823,7.64328,0.32358265,420,10
2000-01-30,-0.027154414,2.2131653,0.64537287,420,10
2000-01-31,-0.029082783,0.65753174,1.1760459,420,10
2000-02-01,-0.030777773,6.21463,1.520814,420,10
2000-02-02,-0.03237406,7.366852,2.2578688,420,10
2000-02-03,-0.033645205,5.755249,2.8715243,420,10
2000-02-04,-0.034919806,10.3880005,3.8238497,420,10
2000-02-05,-0.0362469,4.544098,2.742931,420,10
2000-02-06,-0.036970682,5.1808777,2.4198718,420,10
2000-02-07,-0.0330797,11.678772,1.168745,420,10
2000-02-08,-0.030689985,12.413574,2.2955894,420,10
2000-02-09,-0.03169323,14.655304,2.9179716,420,10
2000-02-10,-0.033050578,16.317017,2.9795437,420,10
2000-02-11,-0.034119092,18.055756,1.5851746,420,10
2000-02-12,-0.03321354,12.892181,1.1617699,420,10
2000-02-13,-0.032360233,16.80362,2.3186245,420,10
2000-02-14,-0.032574013,9.202148,2.5526314,420,10
2000-02-15,-0.03393666,15.036499,1.9175711,420,10
2000-02-16,-0.03571739,12.860199,2.5829687,420,10
2000-02-17,-0.03703136,15.444092,2.1786222,420,10
2000-02-18,-0.037890308,16.54132,1.266634,420,10
2000-02-19,-0.03865474,13.2034,1.8152552,420,10
2000-02-20,-0.03842203,10.591858,1.7448158,420,10
2000-02-21,-0.03879831,11.002686,3.2083645,420,10
2000-02-22,-0.040273067,11.663849,2.6165218,420,10
2000-02-23,-0.041540965,18.525818,2.8928719,420,10
2000-02-24,-0.042752977,17.865875,2.2010803,420,10
2000-02-25,-0.043182265,16.859009,2.792841,420,10
2000-02-26,-0.04430355,12.41861,2.7536259,420,10
2000-02-27,-0.044908885,10.325867,2.8852758,420,10
2000-02-28,-0.04571265,13.527191,4.053809,420,10
2000-02-29,-0.047492635,16.246124,3.633994,420,10
2000-03-01,-0.048882555,18.268341,3.3099213,420,10
2000-03-02,-0.050007842,14.79483,3.9956427,420,10
2000-03-03,-0.045659535,15.98819,2.209506,420,10
2000-03-04,-0.04518546,12.250793,1.6356697,420,10
2000-03-05,-0.045526426,12.1597595,2.2372952,420,10
2000-03-06,-0.04692721,14.7039795,4.10837,420,10
2000-03-07,-0.04905892,15.729126,4.4346037,420,10
2000-03-08,-0.05091443,17.914581,4.027132,420,10
2000-03-09,-0.049490478,19.72293,3.1924877,420,10
2000-03-10,-0.039611507,18.982208,2.1372375,420,10
2000-03-11,-0.034711264,16.259674,0.6336956,420,10
2000-03-12,-0.035495386,5.6959534,2.1246328,420,10
2000-03-13,-0.03724322,8.921539,3.8257217,420,10
2000-03-14,-0.039671183,12.30838,4.447344,420,10
2000-03-15,-0.040863447,14.929443,2.9229374,420,10
2000-03-16,-0.03423751,18.925232,0.71388817,420,10
2000-03-17,-0.030744204,14.670471,1.5030565,420,10
2000-03-18,-0.03115071,15.03302,1.588892,420,10
2000-03-19,-0.027263977,16.964966,0.904356,420,10
2000-03-20,-0.025927423,10.412872,1.821209,420,10
2000-03-21,-0.02883127,12.646515,2.9664974,420,10
2000-03-22,-0.031433564,15.760345,2.6234913,420,10
2000-03-23,-0.03377353,17.859985,3.806881,420,10
2000-03-24,-0.036187764,18.674133,3.6723251,420,10
2000-03-25,-0.035402127,19.398315,2.3062801,420,10
2000-03-26,-0.028895218,19.595032,1.1446152,420,10
2000-03-27,-0.025078766,16.857819,2.2095566,420,10
2000-03-28,-0.0277103,15.569977,4.5590305,420,10
2000-03-29,-0.02973788,17.078094,2.3162022,420,10
2000-03-30,-0.027290396,19.243317,0.5897026,420,10
2000-03-31,-0.027592802,16.585175,1.8117886,420,10
2000-04-01,-0.028911835,17.033447,2.141203,420,10
2000-04-02,-0.023327392,18.762451,2.0427303,420,10
2000-04-03,-0.021447418,16.486664,3.8304396,420,10
2000-04-04,-0.02438515,14.306641,3.8117847,420,10
2000-04-05,-0.026905598,9.865143,3.9500065,420,10
2000-04-06,-0.026266536,16.145935,2.5969229,420,10
2000-04-07,-0.025934372,18.081207,3.4870052,420,10
2000-04-08,-0.027554246,9.7388,2.9601421,420,10
2000-04-09,-0.028472116,9.92337,3.4377108,420,10
2000-04-10,-0.02369427,14.438599,1.9765234,420,10
2000-04-11,-0.02138914,12.532074,2.758378,420,10
2000-04-12,-0.02382061,17.392548,2.4437542,420,10
2000-04-13,-0.023881933,19.291931,3.1479073,420,10
2000-04-14,-0.024534851,16.602722,4.7261305,420,10
2000-04-15,-0.027066711,19.599548,4.779003,420,10
2000-04-16,-0.028903201,19.209503,3.5230732,420,10
2000-04-17,-0.03063273,17.970612,5.0715275,420,10
2000-04-18,-0.02641365,18.33847,2.4140282,420,10
2000-04-19,-0.022407606,19.048798,2.339674,420,10
2000-04-20,-0.024085429,17.4888,4.404949,420,10
2000-04-21,-0.0265467,15.615906,3.7968426,420,10
2000-04-22,-0.028560014,15.258636,4.412651,420,10
2000-04-23,-0.030816548,16.631409,4.253869,420,10
2000-04-24,-0.027481463,18.96997,1.6025982,420,10
2000-04-25,-0.025291435,15.659485,3.657875,420,10
2000-04-26,-0.027652098,17.627533,5.394534,420,10
2000-04-27,-0.02958991,16.722626,3.5444698,420,10
2000-04-28,-0.030875074,17.847351,4.5818853,420,10
2000-04-29,-0.033566043,16.843323,5.2583666,420,10
2000-04-30,-0.036471985,20.097443,4.912037,420,10
2000-05-01,-0.038853858,21.465729,6.10495,420,10
2000-05-02,-0.04126447,22.283783,5.5238705,420,10
2000-05-03,-0.043399904,19.93573,4.361204,420,10
2000-05-04,-0.03921781,22.476349,2.40625,420,10
2000-05-05,-0.036241796,18.738983,4.0983753,420,10
2000-05-06,-0.038534734,24.196564,4.7618275,420,10
2000-05-07,-0.04125316,22.726166,4.7937527,420,10
2000-05-08,-0.043508146,22.239075,5.1229,420,10
2000-05-09,-0.045915924,19.888763,6.0308876,420,10
2000-05-10,-0.04895574,24.493927,8.477774,420,10
2000-05-11,-0.05229894,26.13556,8.562763,420,10
2000-05-12,-0.05511411,23.969086,6.166294,420,10
2000-05-13,-0.057254307,25.373627,7.289219,420,10
2000-05-14,-0.058954947,20.847748,4.7984753,420,10
2000-05-15,-0.06027498,19.308197,7.318198,420,10
2000-05-16,-0.061971456,22.93106,6.1943207,420,10
2000-05-17,-0.06293664,25.11737,5.8458767,420,10
2000-05-18,-0.06426332,25.997437,6.204773,420,10
2000-05-19,-0.06573498,21.066772,5.415865,420,10
2000-05-20,-0.057806257,24.216736,3.1449585,420,10
2000-05-21,-0.051785044,21.7742,4.3164387,420,10
2000-05-22,-0.054288123,24.960236,7.8507233,420,10
2000-05-23,-0.0568762,25.950043,4.97896,420,10
2000-05-24,-0.059074577,26.422089,7.5114193,420,10
2000-05-25,-0.0557526,25.346222,6.7345104,420,10
2000-05-26,-0.05247922,25.960388,5.019863,420,10
2000-05-27,-0.05539036,28.292511,5.9322968,420,10
2000-05-28,-0.05824529,26.39862,5.769449,420,10
2000-05-29,-0.06067254,26.335022,7.300812,420,10
2000-05-30,-0.06397041,25.080597,7.5399265,420,10
2000-05-31,-0.067073755,26.08548,8.286142,420,10
2000-06-01,-0.069564,24.438995,6.3418045,420,10
2000-06-02,-0.07146321,26.24942,7.9098263,420,10
2000-06-03,-0.074136816,22.863403,9.244043,420,10
2000-06-04,-0.06634784,24.260376,3.477375,420,10
2000-06-05,-0.059984345,25.460632,5.931511,420,10
2000-06-06,-0.0633103,25.597107,7.6702957,420,10
2000-06-07,-0.06615885,20.088898,5.0752506,420,10
2000-06-08,-0.06866536,22.317108,7.9435787,420,10
2000-06-09,-0.071646,26.260864,7.3544006,420,10
2000-06-10,-0.07426784,26.11615,8.167387,420,10
2000-06-11,-0.07705195,25.04602,9.206089,420,10
2000-06-12,-0.079848655,26.80188,10.508087,420,10
2000-06-13,-0.08016914,25.982727,7.8895626,420,10
2000-06-14,-0.07685261,26.354736,4.9032993,420,10
2000-06-15,-0.0764509,25.748077,6.2550983,420,10
2000-06-16,-0.06686966,25.654907,4.4439354,420,10
2000-06-17,-0.06017812,24.385315,5.845108,420,10
2000-06-18,-0.063674234,26.895111,7.246294,420,10
2000-06-19,-0.06720259,25.01535,5.8353786,420,10
2000-06-20,-0.06916011,24.895782,6.285652,420,10
2000-06-21,-0.07102298,26.300934,6.2465534,420,10
2000-06-22,-0.07310304,26.693542,8.39044,420,10
2000-06-23,-0.060645558,25.534943,3.2773228,420,10
2000-06-24,-0.05000596,26.17508,6.2876797,420,10
2000-06-25,-0.0527112,27.3732,6.79216,420,10
2000-06-26,-0.057329066,28.43631,9.4457855,420,10
2000-06-27,-0.06229425,27.478058,7.6843014,420,10
2000-06-28,-0.05043961,26.119751,4.3399982,420,10
2000-06-29,-0.03789743,25.103058,2.2267323,420,10
2000-06-30,-0.037369687,24.366913,4.204664,420,10
2000-07-01,-0.041093457,27.215912,9.378704,420,10
2000-07-02,-0.045089185,27.370667,10.110199,420,10
2000-07-03,-0.050311092,27.58548,10.403936,420,10
2000-07-04,-0.055933934,28.485535,10.970152,420,10
2000-07-05,-0.05794793,27.16983,8.374462,420,10
2000-07-06,-0.059777055,28.354889,12.204943,420,10
2000-07-07,-0.0654345,28.797089,11.570736,420,10
2000-07-08,-0.07079876,29.42215,11.738651,420,10
2000-07-09,-0.0751277,28.26294,9.320076,420,10
2000-07-10,-0.077241376,28.055115,6.8780975,420,10
2000-07-11,-0.0783608,29.04779,9.712637,420,10
2000-07-12,-0.08216756,29.346893,9.749966,420,10
2000-07-13,-0.08267242,28.289642,7.846319,420,10
2000-07-14,-0.0834846,30.002869,13.083368,420,10
2000-07-15,-0.08737502,28.110748,10.101419,420,10
2000-07-16,-0.090546004,28.675781,10.093126,420,10
2000-07-17,-0.09366082,30.368439,13.3479,420,10
2000-07-18,-0.09730122,29.331482,14.147095,420,10
2000-07-19,-0.10054929,30.772827,15.031908,420,10
2000-07-20,-0.10345126,27.319061,9.30648,420,10
2000-07-21,-0.10528344,29.120148,11.720741,420,10
2000-07-22,-0.10712319,28.22705,10.51194,420,10
2000-07-23,-0.10772722,26.714325,7.8298397,420,10
2000-07-24,-0.10806808,25.229095,6.522484,420,10
2000-07-25,-0.10832138,27.011566,8.631029,420,10
2000-07-26,-0.11026522,25.756012,10.876904,420,10
2000-07-27,-0.1117011,27.712921,9.970844,420,10
2000-07-28,-0.11387527,28.750519,13.89249,420,10
2000-07-29,-0.116279356,26.625824,10.263174,420,10
2000-07-30,-0.08562607,26.343842,8.012764,420,10
2000-07-31,-0.06766055,27.24469,10.75514,420,10
2000-08-01,-0.07338251,26.434082,8.774042,420,10
2000-08-02,-0.06303441,26.356873,7.818804,420,10
2000-08-03,-0.056922752,28.684418,9.489956,420,10
2000-08-04,-0.06245907,29.60138,11.240381,420,10
2000-08-05,-0.068270385,27.950897,9.689283,420,10
2000-08-06,-0.06749727,26.394562,6.7000256,420,10
2000-08-07,-0.06700474,28.136108,9.551699,420,10
2000-08-08,-0.072278194,29.13684,10.058853,420,10
2000-08-09,-0.07486274,28.438995,9.809715,420,10
2000-08-10,-0.078166105,26.8255,8.898863,420,10
2000-08-11,-0.073547415,28.670227,8.980331,420,10
2000-08-12,-0.067272894,25.698975,6.1380405,420,10
2000-08-13,-0.05689093,26.526825,8.007566,420,10
2000-08-14,-0.054860935,27.703949,7.070013,420,10
2000-08-15,-0.056248542,25.749512,7.9629154,420,10
2000-08-16,-0.059404377,29.516632,15.839724,420,10
2000-08-17,-0.06631657,32.538544,19.535666,420,10
2000-08-18,-0.07244751,31.66275,15.807959,420,10
2000-08-19,-0.07864441,31.296417,14.847752,420,10
2000-08-20,-0.08417295,30.333862,11.783863,420,10
2000-08-21,-0.0882413,28.559631,8.804117,420,10
2000-08-22,-0.089440025,27.570282,7.6854954,420,10
2000-08-23,-0.08943356,27.729248,8.5143585,420,10
2000-08-24,-0.089010544,27.60434,7.821108,420,10
2000-08-25,-0.08835317,29.930908,12.959145,420,10
2000-08-26,-0.09246236,27.354279,9.364159,420,10
2000-08-27,-0.096599735,30.764404,14.794121,420,10
2000-08-28,-0.10109397,29.832153,12.433535,420,10
2000-08-29,-0.10554499,30.824982,15.330986,420,10
2000-08-30,-0.10366192,28.52832,9.674658,420,10
2000-08-31,-0.09895035,28.342377,12.200523,420,10
2000-09-01,-0.102736,29.954926,9.542835,420,10
2000-09-02,-0.10557317,25.632599,7.735775,420,10
2000-09-03,-0.10826598,28.50528,11.680925,420,10
2000-09-04,-0.111441255,29.331665,12.118668,420,10
2000-09-05,-0.108621605,28.033997,11.946274,420,10
2000-09-06,-0.105508715,23.13205,5.6716537,420,10
2000-09-07,-0.10325129,24.660156,6.4307137,420,10
2000-09-08,-0.10234619,27.444458,6.917242,420,10
2000-09-09,-0.097525224,24.149261,4.225523,420,10
2000-09-10,-0.08511052,26.064545,3.4227333,420,10
2000-09-11,-0.074119255,26.223175,4.00651,420,10
2000-09-12,-0.06408919,26.04422,4.594988,420,10
2000-09-13,-0.062349,22.747375,6.490034,420,10
2000-09-14,-0.065799035,21.322113,4.130741,420,10
2000-09-15,-0.06942633,25.896118,8.608501,420,10
2000-09-16,-0.068081096,23.703125,6.913496,420,10
2000-09-17,-0.06796968,20.080536,9.742362,420,10
2000-09-18,-0.07335964,20.834717,7.9333115,420,10
2000-09-19,-0.07831673,23.762878,10.417791,420,10
2000-09-20,-0.083073296,24.685852,6.345764,420,10
2000-09-21,-0.08050242,22.567596,5.2326717,420,10
2000-09-22,-0.07700165,26.661041,4.7613735,420,10
2000-09-23,-0.06768612,26.07956,2.3334484,420,10
2000-09-24,-0.062475108,23.34317,4.1187553,420,10
2000-09-25,-0.06580258,21.39621,3.8146172,420,10
2000-09-26,-0.06864661,17.16391,4.713173,420,10
2000-09-27,-0.07148364,20.241425,4.1523952,420,10
2000-09-28,-0.0726642,22.265167,5.579788,420,10
2000-09-29,-0.07297614,20.611694,7.9952545,420,10
2000-09-30,-0.0775539,20.86972,7.35445,420,10
2000-10-01,-0.08174907,22.220337,8.167883,420,10
2000-10-02,-0.08576869,23.1156,9.323805,420,10
2000-10-03,-0.090270504,22.767578,9.798248,420,10
2000-10-04,-0.09473315,22.108856,10.07633,420,10
2000-10-05,-0.09830501,17.351044,6.6481533,420,10
2000-10-06,-0.087996416,18.634064,5.003113,420,10
2000-10-07,-0.08077674,19.04834,7.8100433,420,10
2000-10-08,-0.08445526,7.7639465,5.12225,420,10
2000-10-09,-0.0866128,8.290192,5.8966913,420,10
2000-10-10,-0.089053944,10.835724,5.8563857,420,10
2000-10-11,-0.0916038,11.951202,7.5819573,420,10
2000-10-12,-0.09525781,14.803467,8.714063,420,10
2000-10-13,-0.09922883,17.0159,9.8716755,420,10
2000-10-14,-0.102808304,17.5495,9.183069,420,10
2000-10-15,-0.10591867,18.84439,9.32984,420,10
2000-10-16,-0.108698554,20.187134,9.087111,420,10
2000-10-17,-0.11111636,21.78061,7.3920994,420,10
2000-10-18,-0.11272804,20.688599,6.3750057,420,10
2000-10-19,-0.114036314,18.940948,6.240836,420,10
2000-10-20,-0.11541462,19.645447,8.037613,420,10
2000-10-21,-0.10751098,20.374695,6.7284775,420,10
2000-10-22,-0.10106522,22.303223,7.8346634,420,10
2000-10-23,-0.08642863,18.060425,5.6733017,420,10
2000-10-24,-0.07642462,20.675446,9.322078,420,10
2000-10-25,-0.08114829,20.502258,10.045128,420,10
2000-10-26,-0.08573305,20.43045,9.710246,420,10
2000-10-27,-0.08975332,19.82022,9.366198,420,10
2000-10-28,-0.09330074,21.51892,9.654009,420,10
2000-10-29,-0.09441656,21.63794,6.2479153,420,10
2000-10-30,-0.095340654,22.203949,8.244505,420,10
2000-10-31,-0.0978532,19.694489,5.4507008,420,10
2000-11-01,-0.099841826,21.230011,6.1923847,420,10
2000-11-02,-0.10247632,21.31128,6.041628,420,10
2000-11-03,-0.08847996,18.171661,3.4537754,420,10
2000-11-04,-0.077620715,14.415527,3.8141575,420,10
2000-11-05,-0.07972379,13.857483,3.7100887,420,10
