time,psis,tair,D,Ca,al
2000-01-01,-0.77659756,7.933716,2.2184849,420,10
2000-01-02,-0.77866054,9.483398,3.004591,420,10
2000-01-03,-0.7826756,8.064728,2.6105185,420,10
2000-01-04,-0.7510376,9.329834,2.4880009,420,10
2000-01-05,-0.7246686,8.98764,2.7950583,420,10
2000-01-06,-0.68316567,5.7212524,2.694158,420,10
2000-01-07,-0.66268486,8.181061,3.4836888,420,10
2000-01-08,-0.66982627,7.5788574,1.3935299,420,10
2000-01-09,-0.65217286,8.418823,0.7711811,420,10
2000-01-10,-0.51412994,8.311432,0.63901997,420,10
2000-01-11,-0.44114882,9.095673,0.7871342,420,10
2000-01-12,-0.46094638,9.354095,0.70418453,420,10
2000-01-13,-0.47910506,8.473602,1.3947029,420,10
2000-01-14,-0.49841738,11.189209,2.9723606,420,10
2000-01-15,-0.37800527,9.796509,1.4811649,420,10
2000-01-16,-0.30448842,10.427795,1.7629862,420,10
2000-01-17,-0.3309312,10.134766,2.0345306,420,10
2000-01-18,-0.3581723,5.504669,2.1689787,420,10
2000-01-19,-0.3820147,10.582336,1.8105202,420,10
2000-01-20,-0.40191028,10.463135,0.35053158,420,10
2000-01-21,-0.41742572,8.575195,0.96235466,420,10
2000-01-22,-0.4332739,7.8513184,1.2420502,420,10
2000-01-23,-0.4489201,10.655548,3.774128,420,10
2000-01-24,-0.46477717,7.763916,2.545148,420,10
2000-01-25,-0.43010804,8.769012,1.3899889,420,10
2000-01-26,-0.40420994,7.142975,0.6335974,420,10
2000-01-27,-0.4178776,8.208252,0.5613432,420,10
2000-01-28,-0.43104455,7.8599243,1.3077955,420,10
2000-01-29,-0.3652196,8.270477,2.1876745,420,10
2000-01-30,-0.32200134,10.036682,1.489069,420,10
2000-01-31,-0.34435046,7.648529,1.4967451,420,10
2000-02-01,-0.36300498,10.257629,0.9604769,420,10
2000-02-02,-0.38344097,12.136475,5.1833134,420,10
2000-02-03,-0.404545,10.204102,2.551303,420,10
2000-02-04,-0.4156401,11.759338,0.74197006,420,10
2000-02-05,-0.36821324,6.4577026,0.3683529,420,10
2000-02-06,-0.33660352,11.261475,1.5460768,420,10
2000-02-07,-0.34952995,6.718689,1.6505861,420,10
2000-02-08,-0.3667984,12.708191,4.810858,420,10
2000-02-09,-0.34722352,10.322144,0.36086464,420,10
2000-02-10,-0.20906238,10.773621,0.19523907,420,10
2000-02-11,-0.13601108,7.5348206,1.0797615,420,10
2000-02-12,-0.141056,9.414276,1.36936,420,10
2000-02-13,-0.14319971,10.60495,0.22330284,420,10
2000-02-14,-0.1447412,11.652832,0.12773895,420,10
2000-02-15,-0.16210283,9.772217,0.2835369,420,10
2000-02-16,-0.12954356,9.540161,1.2347116,420,10
2000-02-17,-0.099065624,9.707031,0.927824,420,10
2000-02-18,-0.09156007,4.9797974,0.44146633,420,10
2000-02-19,-0.09936599,11.054291,3.4363804,420,10
2000-02-20,-0.119916424,11.315643,2.4735184,420,10
2000-02-21,-0.042823467,9.920532,-0.27423286,420,10
2000-02-22,-0.021637408,9.707428,0.527627,420,10
2000-02-23,-0.030703576,9.339844,1.2435703,420,10
2000-02-24,-0.04164123,9.183105,3.4888248,420,10
2000-02-25,-0.054834787,8.7309265,1.7319021,420,10
2000-02-26,-0.061707325,9.87677,0.51064205,420,10
2000-02-27,-0.06609972,9.865631,1.5747118,420,10
2000-02-28,-0.07554549,7.958191,2.476838,420,10
2000-02-29,-0.08524038,8.657074,1.7703781,420,10
2000-03-01,-0.09382477,6.7475586,1.451375,420,10
2000-03-02,-0.10013922,6.0588684,1.2002802,420,10
2000-03-03,-0.096721455,8.356201,2.5229292,420,10
2000-03-04,-0.09631215,7.079712,1.7948837,420,10
2000-03-05,-0.10201042,5.44281,1.2712493,420,10
2000-03-06,-0.10687704,8.168823,2.8836846,420,10
2000-03-07,-0.10660495,6.507721,2.5912786,420,10
2000-03-08,-0.105367415,5.307556,1.3989024,420,10
2000-03-09,-0.108461514,7.0853577,0.98634243,420,10
2000-03-10,-0.10968038,6.970764,1.0622778,420,10
2000-03-11,-0.113168836,8.576111,2.021328,420,10
2000-03-12,-0.11029933,7.998108,1.2168951,420,10
2000-03-13,-0.10384253,7.978546,1.9563665,420,10
2000-03-14,-0.09998387,10.538818,2.7428284,420,10
2000-03-15,-0.10604378,9.752686,2.050313,420,10
2000-03-16,-0.0966455,7.304016,1.8503065,420,10
2000-03-17,-0.09567714,9.802521,4.464714,420,10
2000-03-18,-0.105835505,10.476624,4.42943,420,10
2000-03-19,-0.11364594,9.684906,3.4228,420,10
2000-03-20,-0.11226089,7.132599,2.9445019,420,10
2000-03-21,-0.11323228,7.8689575,4.444582,420,10
2000-03-22,-0.11894126,7.613983,2.5080929,420,10
2000-03-23,-0.12226614,6.056885,1.1052151,420,10
2000-03-24,-0.12455498,8.075958,2.0153284,420,10
2000-03-25,-0.12636697,5.6376038,1.3068404,420,10
2000-03-26,-0.12661688,8.383972,2.319621,420,10
2000-03-27,-0.13135551,7.738312,2.2267876,420,10
2000-03-28,-0.13392904,7.608795,1.8598881,420,10
2000-03-29,-0.08933292,6.520233,1.6892252,420,10
2000-03-30,-0.06763134,9.650726,2.284543,420,10
2000-03-31,-0.07155056,4.9236145,1.3573556,420,10
