model,scenario,time,future_tair,psis,Ca,al,D
CanESM5,ssp585,2000-01,25.091223016129028,-1.0589737661290324,420.0,10.0,832.6719774506877
CanESM5,ssp585,2000-02,24.813808775862068,-1.6511128586206896,420.0,10.0,836.7569680174882
CanESM5,ssp585,2000-03,28.115626312903224,-2.216845574193548,420.0,10.0,985.8366766902797
CanESM5,ssp585,2000-04,29.164074633333332,-2.028764821,420.0,10.0,1136.4064451698475
CanESM5,ssp585,2000-05,30.464343922580642,-3.825631958064516,420.0,10.0,1231.2702210007103
CanESM5,ssp585,2000-06,30.8622079,-1.6644695813333332,420.0,10.0,970.2898959084619
CanESM5,ssp585,2000-07,31.353598541935483,-1.0614653248387096,420.0,10.0,979.1864480790437
CanESM5,ssp585,2000-08,31.59416172903226,-0.7385000548387096,420.0,10.0,977.6347773476277
CanESM5,ssp585,2000-09,31.528897033333337,-0.7360653546666666,420.0,10.0,798.559179359531
CanESM5,ssp585,2000-10,30.087658496774193,-0.5079262993548387,420.0,10.0,999.9884241299022
CanESM5,ssp585,2000-11,27.823609233333332,-1.4642776833333333,420.0,10.0,973.1627165361757
CanESM5,ssp585,2000-12,25.073093032258065,-1.209745677419355,420.0,10.0,745.9448675547274
CanESM5,ssp585,2001-01,21.51123870967742,-2.061493270967742,420.0,10.0,750.6491211136824
CanESM5,ssp585,2001-02,26.871713071428573,-2.9508562821428574,420.0,10.0,802.803858726313
CanESM5,ssp585,2001-03,28.209120499999997,-2.239365537419355,420.0,10.0,1036.9154138082488
CanESM5,ssp585,2001-04,29.3856574,-4.23556568,420.0,10.0,1181.5413807142406
CanESM5,ssp585,2001-05,28.826285348387096,-1.7393377596774193,420.0,10.0,967.9253187882491
CanESM5,ssp585,2001-06,31.09704383333333,-1.8127693379999998,420.0,10.0,1044.766803338616
CanESM5,ssp585,2001-07,31.14142647419355,-0.6484331983870968,420.0,10.0,861.108620371386
CanESM5,ssp585,2001-08,32.8859501032258,-0.6360538351612903,420.0,10.0,988.0344547857292
CanESM5,ssp585,2001-09,33.472444499999995,-0.3805491543333333,420.0,10.0,854.4652215913235
CanESM5,ssp585,2001-10,33.266267,-0.3711211829032258,420.0,10.0,930.7235112381403
CanESM5,ssp585,2001-11,29.8293642,-0.532103337,420.0,10.0,968.7581928745564
CanESM5,ssp585,2001-12,27.724370258064514,-0.6978805738709678,420.0,10.0,868.6221583714251
CanESM5,ssp585,2002-01,25.995369354838708,-0.9587618535483872,420.0,10.0,825.9443546061821
CanESM5,ssp585,2002-02,26.20966806428571,-0.9431424485714286,420.0,10.0,855.0191966857672
CanESM5,ssp585,2002-03,29.8307734,-1.4579321429032257,420.0,10.0,975.4525656032515
CanESM5,ssp585,2002-04,31.769240200000002,-2.5585119666666665,420.0,10.0,1310.174507887121
CanESM5,ssp585,2002-05,31.343211793548388,-2.768485135483871,420.0,10.0,1058.2497675044226
CanESM5,ssp585,2002-06,32.196849433333334,-0.5364056123333333,420.0,10.0,767.5683987163941
CanESM5,ssp585,2002-07,35.75560457096774,-0.4806922196774193,420.0,10.0,1110.3796985476788
CanESM5,ssp585,2002-08,38.388384548387094,-0.5313495267741936,420.0,10.0,1326.931484332542
CanESM5,ssp585,2002-09,38.9803724,-0.42027224166666666,420.0,10.0,1121.9084298698046
CanESM5,ssp585,2002-10,35.197246119354844,-0.5822525435483871,420.0,10.0,1106.3264471635728
CanESM5,ssp585,2002-11,29.637997333333335,-0.743246547,420.0,10.0,1055.7514801235775
CanESM5,ssp585,2002-12,26.42887059354839,-0.9542711764516129,420.0,10.0,814.3156967042586
CanESM5,ssp585,2003-01,22.287581074193547,-1.3200348806451612,420.0,10.0,776.4553944337117
CanESM5,ssp585,2003-02,26.571134642857142,-1.4782139714285714,420.0,10.0,708.7232664991228
CanESM5,ssp585,2003-03,30.411335677419356,-1.463302215483871,420.0,10.0,852.3190492164473
CanESM5,ssp585,2003-04,29.076446633333333,-2.07360285,420.0,10.0,1070.90181290823
CanESM5,ssp585,2003-05,31.064436587096772,-0.8047088048387098,420.0,10.0,928.9273316433312
CanESM5,ssp585,2003-06,31.404907066666667,-0.5298648913333334,420.0,10.0,808.5427125972745
CanESM5,ssp585,2003-07,32.859829958064516,-0.790846783548387,420.0,10.0,990.6588729561713
CanESM5,ssp585,2003-08,32.60956329032258,-0.6151156648387096,420.0,10.0,909.2333487835546
CanESM5,ssp585,2003-09,33.68292746666667,-0.405712509,420.0,10.0,928.5878981232512
CanESM5,ssp585,2003-10,34.83796961290322,-0.628367310967742,420.0,10.0,1202.826489287139
CanESM5,ssp585,2003-11,31.379595833333333,-0.713446363,420.0,10.0,1005.6494356821231
CanESM5,ssp585,2003-12,25.458582693548387,-0.9964022125806451,420.0,10.0,839.4302854609874
CanESM5,ssp585,2004-01,23.976927838709678,-1.1636132806451611,420.0,10.0,767.1750586489177
CanESM5,ssp585,2004-02,26.07455195517241,-1.7501589310344827,420.0,10.0,757.2969596733544
CanESM5,ssp585,2004-03,27.273277241935485,-2.604653564516129,420.0,10.0,1075.0276514624168
CanESM5,ssp585,2004-04,27.750421933333335,-3.4564177233333333,420.0,10.0,1125.7848759882693
CanESM5,ssp585,2004-05,29.54928507096774,-2.824538222580645,420.0,10.0,1084.6146817207966
CanESM5,ssp585,2004-06,32.576159499999996,-2.6558136,420.0,10.0,996.954230502479
CanESM5,ssp585,2004-07,32.53698251612903,-1.6973049016129031,420.0,10.0,1029.154600954453
CanESM5,ssp585,2004-08,34.0656307,-0.6751566396774193,420.0,10.0,997.2999455846444
CanESM5,ssp585,2004-09,35.134889433333335,-0.5664313853333333,420.0,10.0,905.2315863643669
CanESM5,ssp585,2004-10,33.224153825806454,-0.8620689161290322,420.0,10.0,1070.6919969252517
