model,scenario,time,future_tair,psis,Ca,al,D
E3SM-1-1,ssp585,2000-01,27.89209931612903,-1.0589737661290324,420.0,10.0,982.0066301053932
E3SM-1-1,ssp585,2000-02,27.79229727586207,-1.6511128586206896,420.0,10.0,997.4522028392012
E3SM-1-1,ssp585,2000-03,30.072721912903226,-2.216845574193548,420.0,10.0,1103.7972267783277
E3SM-1-1,ssp585,2000-04,29.637832933333332,-2.028764821,420.0,10.0,1167.852960111632
E3SM-1-1,ssp585,2000-05,30.630972922580643,-3.825631958064516,420.0,10.0,1243.045925865345
E3SM-1-1,ssp585,2000-06,33.0144024,-1.6644695813333332,420.0,10.0,1095.8338546329403
E3SM-1-1,ssp585,2000-07,34.773340741935485,-1.0614653248387096,420.0,10.0,1186.138759201918
E3SM-1-1,ssp585,2000-08,35.44096682903226,-0.7385000548387096,420.0,10.0,1212.0841393978872
E3SM-1-1,ssp585,2000-09,37.042694233333336,-0.7360653546666666,420.0,10.0,1084.8498950979936
E3SM-1-1,ssp585,2000-10,35.035049096774195,-0.5079262993548387,420.0,10.0,1321.0433686936287
E3SM-1-1,ssp585,2000-11,31.14667173333333,-1.4642776833333333,420.0,10.0,1178.3830964274455
E3SM-1-1,ssp585,2000-12,29.371589032258065,-1.209745677419355,420.0,10.0,959.5126577464403
E3SM-1-1,ssp585,2001-01,26.056865709677417,-2.061493270967742,420.0,10.0,986.584213594456
E3SM-1-1,ssp585,2001-02,32.68708507142857,-2.9508562821428574,420.0,10.0,1121.3156565781935
E3SM-1-1,ssp585,2001-03,32.140703,-2.239365537419355,420.0,10.0,1298.843740078999
E3SM-1-1,ssp585,2001-04,29.8340557,-4.23556568,420.0,10.0,1212.4149805505363
E3SM-1-1,ssp585,2001-05,29.956293548387094,-1.7393377596774193,420.0,10.0,1033.0451470917365
E3SM-1-1,ssp585,2001-06,33.34488043333333,-1.8127693379999998,420.0,10.0,1186.0288737439732
E3SM-1-1,ssp585,2001-07,34.99384677419355,-0.6484331983870968,420.0,10.0,1068.7147204512971
E3SM-1-1,ssp585,2001-08,36.511411203225805,-0.6360538351612903,420.0,10.0,1207.795884600048
E3SM-1-1,ssp585,2001-09,36.318913499999994,-0.3805491543333333,420.0,10.0,1000.1717297513401
E3SM-1-1,ssp585,2001-10,35.495549,-0.3711211829032258,420.0,10.0,1053.3601228338498
E3SM-1-1,ssp585,2001-11,32.584952200000004,-0.532103337,420.0,10.0,1133.035436654333
E3SM-1-1,ssp585,2001-12,29.867470658064516,-0.6978805738709678,420.0,10.0,983.3338076844868
E3SM-1-1,ssp585,2002-01,25.70814135483871,-0.9587618535483872,420.0,10.0,812.0233899991217
E3SM-1-1,ssp585,2002-02,26.054397964285712,-0.9431424485714286,420.0,10.0,847.2150206533803
E3SM-1-1,ssp585,2002-03,29.5898405,-1.4579321429032257,420.0,10.0,962.0362738958472
E3SM-1-1,ssp585,2002-04,31.0104238,-2.5585119666666665,420.0,10.0,1254.936972650778
E3SM-1-1,ssp585,2002-05,31.76481549354839,-2.768485135483871,420.0,10.0,1083.8504067921124
E3SM-1-1,ssp585,2002-06,31.24259863333333,-0.5364056123333333,420.0,10.0,727.192536023101
E3SM-1-1,ssp585,2002-07,34.13155387096774,-0.4806922196774193,420.0,10.0,1015.0132188697788
