time,psis,tair,D,Ca,al
2000-01-01,-0.8871721,19.93277,5.5207767,420,10
2000-01-02,-0.89415425,22.330078,5.3758965,420,10
2000-01-03,-0.9057134,22.111053,5.4901505,420,10
2000-01-04,-0.92976415,21.036255,5.678543,420,10
2000-01-05,-0.9356,22.334229,4.8805523,420,10
2000-01-06,-0.94405067,23.26767,5.9212418,420,10
2000-01-07,-0.9647157,20.572388,5.5201035,420,10
2000-01-08,-0.9692336,22.236359,5.992897,420,10
2000-01-09,-0.99586403,22.65155,5.831835,420,10
2000-01-10,-1.0217246,23.059174,5.9462852,420,10
2000-01-11,-1.0464624,23.046295,6.818571,420,10
2000-01-12,-1.0807483,21.776093,7.160099,420,10
2000-01-13,-1.1188743,22.193695,7.4818554,420,10
2000-01-14,-1.1535026,20.33606,7.608515,420,10
2000-01-15,-1.1780833,16.360657,5.898575,420,10
2000-01-16,-1.1831402,20.872162,5.584711,420,10
2000-01-17,-0.9859654,19.108734,7.2726803,420,10
2000-01-18,-0.8657903,19.95578,6.9754314,420,10
2000-01-19,-0.92114145,20.872711,7.2274876,420,10
2000-01-20,-0.9655778,20.547058,6.567728,420,10
2000-01-21,-1.020168,18.200317,6.617919,420,10
2000-01-22,-1.0563059,18.498505,6.649626,420,10
2000-01-23,-1.1007627,18.909943,6.46323,420,10
2000-01-24,-1.1291976,17.802734,4.417392,420,10
2000-01-25,-1.1391432,15.733429,5.34317,420,10
2000-01-26,-1.1710349,15.6371155,6.5023546,420,10
2000-01-27,-1.1972396,13.874573,5.897977,420,10
2000-01-28,-1.2189407,19.709686,5.6808815,420,10
2000-01-29,-1.2477641,21.255768,5.689804,420,10
2000-01-30,-1.2793288,20.760529,6.9476814,420,10
2000-01-31,-1.3210227,16.167877,6.463704,420,10
2000-02-01,-1.3357488,22.510956,5.273432,420,10
2000-02-02,-1.3509518,20.678223,5.220457,420,10
2000-02-03,-1.3703755,17.380371,5.895561,420,10
2000-02-04,-1.384037,21.865967,6.0154037,420,10
2000-02-05,-1.4134587,19.147797,6.5985003,420,10
2000-02-06,-1.4456373,17.084747,6.965769,420,10
2000-02-07,-1.4915143,16.361023,7.447774,420,10
2000-02-08,-1.5273837,18.184326,7.186878,420,10
2000-02-09,-1.5422183,20.884277,6.5720463,420,10
2000-02-10,-1.5773528,17.199554,8.148261,420,10
2000-02-11,-1.6001244,16.903046,7.8067408,420,10
2000-02-12,-1.6347883,19.696747,7.7048836,420,10
2000-02-13,-1.664914,21.152649,6.434017,420,10
2000-02-14,-1.6466873,22.038605,4.9226723,420,10
2000-02-15,-1.6144698,22.430511,5.837166,420,10
2000-02-16,-1.6460133,21.806122,6.6171303,420,10
2000-02-17,-1.6898028,21.231445,7.525999,420,10
2000-02-18,-1.7311167,22.6391,5.849764,420,10
2000-02-19,-1.7212363,21.841888,4.7562675,420,10
2000-02-20,-1.7038199,21.6427,5.5535107,420,10
2000-02-21,-1.7351263,21.256348,7.03858,420,10
2000-02-22,-1.7794137,21.442566,6.820818,420,10
2000-02-23,-1.8122997,21.056213,6.3477097,420,10
2000-02-24,-1.8359324,20.130463,6.034384,420,10
2000-02-25,-1.8410902,21.85492,6.6797123,420,10
2000-02-26,-1.890194,21.680573,6.8207264,420,10
2000-02-27,-1.9344764,22.121277,6.592554,420,10
2000-02-28,-1.960292,22.607239,5.646368,420,10
