model,scenario,time,future_tair,psis,Ca,al,D
CanESM5,ssp245,2000-01,22.59558581612903,-1.0589737661290324,420.0,10.0,716.7042290960367
CanESM5,ssp245,2000-02,23.33141597586207,-1.6511128586206896,420.0,10.0,765.5588114208643
CanESM5,ssp245,2000-03,26.630273312903224,-2.216845574193548,420.0,10.0,903.7871180367206
CanESM5,ssp245,2000-04,25.35016943333333,-2.028764821,420.0,10.0,908.9572775652788
CanESM5,ssp245,2000-05,28.758013122580643,-3.825631958064516,420.0,10.0,1116.1538041735969
CanESM5,ssp245,2000-06,30.3639765,-1.6644695813333332,420.0,10.0,943.0771305881937
CanESM5,ssp245,2000-07,31.026875941935486,-1.0614653248387096,420.0,10.0,961.1666178355966
CanESM5,ssp245,2000-08,31.43369882903226,-0.7385000548387096,420.0,10.0,968.7782550401723
CanESM5,ssp245,2000-09,31.901606733333335,-0.7360653546666666,420.0,10.0,815.5927408849051
CanESM5,ssp245,2000-10,31.60691359677419,-0.5079262993548387,420.0,10.0,1090.4389925648566
CanESM5,ssp245,2000-11,27.033080533333333,-1.4642776833333333,420.0,10.0,929.1990824540943
CanESM5,ssp245,2000-12,23.510255732258063,-1.209745677419355,420.0,10.0,679.2947544376401
CanESM5,ssp245,2001-01,20.21066950967742,-2.061493270967742,420.0,10.0,692.9549547894642
CanESM5,ssp245,2001-02,26.04007717142857,-2.9508562821428574,420.0,10.0,764.4212433206328
CanESM5,ssp245,2001-03,26.2456486,-2.239365537419355,420.0,10.0,924.2757894372224
CanESM5,ssp245,2001-04,25.9538019,-4.23556568,420.0,10.0,967.045637070371
CanESM5,ssp245,2001-05,26.845693148387095,-1.7393377596774193,420.0,10.0,862.3739649138283
CanESM5,ssp245,2001-06,30.79616963333333,-1.8127693379999998,420.0,10.0,1027.0163130215317
CanESM5,ssp245,2001-07,32.71222577419355,-0.6484331983870968,420.0,10.0,941.085420525632
CanESM5,ssp245,2001-08,36.647179203225804,-0.6360538351612903,420.0,10.0,1216.7882592661585
CanESM5,ssp245,2001-09,37.0058595,-0.3805491543333333,420.0,10.0,1038.3992749040192
CanESM5,ssp245,2001-10,32.957977,-0.3711211829032258,420.0,10.0,914.7804569185251
CanESM5,ssp245,2001-11,27.1608445,-0.532103337,420.0,10.0,829.8232390753114
CanESM5,ssp245,2001-12,26.604740258064513,-0.6978805738709678,420.0,10.0,813.465923339099
CanESM5,ssp245,2002-01,24.005408154838708,-0.9587618535483872,420.0,10.0,733.6216040438896
CanESM5,ssp245,2002-02,25.193614464285712,-0.9431424485714286,420.0,10.0,805.066294128483
CanESM5,ssp245,2002-03,27.110526600000004,-1.4579321429032257,420.0,10.0,833.0296974836955
CanESM5,ssp245,2002-04,29.1530278,-2.5585119666666665,420.0,10.0,1128.188347420985
CanESM5,ssp245,2002-05,30.35978149354839,-2.768485135483871,420.0,10.0,1000.566663344608
CanESM5,ssp245,2002-06,36.51652003333333,-0.5364056123333333,420.0,10.0,975.6715499651076
CanESM5,ssp245,2002-07,39.11986087096774,-0.4806922196774193,420.0,10.0,1332.9152849902548
CanESM5,ssp245,2002-08,39.589615548387094,-0.5313495267741936,420.0,10.0,1415.3247179181226
CanESM5,ssp245,2002-09,38.6731809,-0.42027224166666666,420.0,10.0,1103.536308295398
CanESM5,ssp245,2002-10,34.70075441935484,-0.5822525435483871,420.0,10.0,1076.3689377587916
CanESM5,ssp245,2002-11,27.220851033333332,-0.743246547,420.0,10.0,917.5613017140869
CanESM5,ssp245,2002-12,24.48941609354839,-0.9542711764516129,420.0,10.0,725.7645886742745
CanESM5,ssp245,2003-01,19.80061057419355,-1.3200348806451612,420.0,10.0,666.4912504538133
CanESM5,ssp245,2003-02,24.162197542857143,-1.4782139714285714,420.0,10.0,614.2323863203511
CanESM5,ssp245,2003-03,27.316882577419356,-1.463302215483871,420.0,10.0,712.6182229701689
CanESM5,ssp245,2003-04,26.513273633333334,-2.07360285,420.0,10.0,922.2155575711747
CanESM5,ssp245,2003-05,30.302929987096775,-0.8047088048387098,420.0,10.0,889.424564195357
CanESM5,ssp245,2003-06,30.391325366666667,-0.5298648913333334,420.0,10.0,763.17338147388
CanESM5,ssp245,2003-07,31.292415258064516,-0.790846783548387,420.0,10.0,906.7316740571739
CanESM5,ssp245,2003-08,31.37640749032258,-0.6151156648387096,420.0,10.0,848.0277966901418
CanESM5,ssp245,2003-09,32.13922466666667,-0.405712509,420.0,10.0,851.516216489802
CanESM5,ssp245,2003-10,32.340470612903225,-0.628367310967742,420.0,10.0,1046.2279069991368
CanESM5,ssp245,2003-11,28.996598733333336,-0.713446363,420.0,10.0,877.3402641325267
CanESM5,ssp245,2003-12,22.53490599354839,-0.9964022125806451,420.0,10.0,704.3168463061913
CanESM5,ssp245,2004-01,21.189939038709678,-1.1636132806451611,420.0,10.0,647.8120522596672
CanESM5,ssp245,2004-02,23.00957855517241,-1.7501589310344827,420.0,10.0,630.5193978817903
CanESM5,ssp245,2004-03,24.796896441935488,-2.604653564516129,420.0,10.0,928.6661691564659
CanESM5,ssp245,2004-04,25.135582833333334,-3.4564177233333333,420.0,10.0,965.0480481771702
CanESM5,ssp245,2004-05,27.51165547096774,-2.824538222580645,420.0,10.0,963.7276426817157
CanESM5,ssp245,2004-06,30.9954696,-2.6558136,420.0,10.0,911.6340803320907
CanESM5,ssp245,2004-07,31.85021351612903,-1.6973049016129031,420.0,10.0,990.0347436389859
CanESM5,ssp245,2004-08,32.379228000000005,-0.6751566396774193,420.0,10.0,907.4269659521351
CanESM5,ssp245,2004-09,34.07360883333334,-0.5664313853333333,420.0,10.0,853.5140559152687
CanESM5,ssp245,2004-10,33.14572222580645,-0.8620689161290322,420.0,10.0,1065.998398921288
CanESM5,ssp245,2004-11,27.5651688,-2.19682154,420.0,10.0,884.0569653034366
