model,scenario,time,future_tair,psis,Ca,al,D
CanESM5,ssp245,2000-01,9.08761326135484,-0.037650471290322576,420.0,10.0,171.61185118231282
CanESM5,ssp245,2000-02,15.0245548,-0.03711491686206896,420.0,10.0,287.5903802821166
CanESM5,ssp245,2000-03,17.511716961290322,-0.036790525935483875,420.0,10.0,288.07857530771236
CanESM5,ssp245,2000-04,18.690861500000004,-0.02689620213333333,420.0,10.0,403.37604649379824
CanESM5,ssp245,2000-05,26.560130754838706,-0.053205277354838716,420.0,10.0,686.264670714825
CanESM5,ssp245,2000-06,27.4797815,-0.0651940437,420.0,10.0,725.5055836236585
CanESM5,ssp245,2000-07,30.261995619354842,-0.08516951158064516,420.0,10.0,1162.2743480108234
CanESM5,ssp245,2000-08,32.04618413548387,-0.07730569783870968,420.0,10.0,1256.7495934349217
CanESM5,ssp245,2000-09,27.882622766666668,-0.08179185230000001,420.0,10.0,811.7570631368077
CanESM5,ssp245,2000-10,24.224852803225804,-0.09501639193548388,420.0,10.0,1096.571407169057
CanESM5,ssp245,2000-11,14.822425866666666,-0.06221146103333333,420.0,10.0,315.23758861362444
CanESM5,ssp245,2000-12,6.456366033548387,-0.033407611387096775,420.0,10.0,172.77741114826642
CanESM5,ssp245,2001-01,8.33586783032258,-0.022084291967741938,420.0,10.0,163.29299041658638
CanESM5,ssp245,2001-02,12.485150971428572,-0.018121422999999998,420.0,10.0,174.91036890531686
CanESM5,ssp245,2001-03,13.031665751612904,-0.011903030322580646,420.0,10.0,292.28422077259404
CanESM5,ssp245,2001-04,24.467054700000002,-0.014966032466666666,420.0,10.0,659.5837840174213
CanESM5,ssp245,2001-05,25.215315567741936,-0.03147214825806451,420.0,10.0,768.6610832147197
CanESM5,ssp245,2001-06,27.668204233333334,-0.029424434633333333,420.0,10.0,521.3686697434606
CanESM5,ssp245,2001-07,28.63493718064516,-0.03134837664516129,420.0,10.0,556.9203818225101
CanESM5,ssp245,2001-08,28.558277870967743,-0.029606833322580645,420.0,10.0,457.0988313566195
CanESM5,ssp245,2001-09,27.960747733333335,-0.027555257266666668,420.0,10.0,524.8520186387782
CanESM5,ssp245,2001-10,22.722619322580645,-0.03752912380645162,420.0,10.0,729.7469073752045
CanESM5,ssp245,2001-11,16.626111353333332,-0.03650823536666667,420.0,10.0,424.6080037037143
CanESM5,ssp245,2001-12,14.935234061290323,-0.02927044664516129,420.0,10.0,215.34157942973994
CanESM5,ssp245,2002-01,9.847935082258065,-0.01911602770967742,420.0,10.0,153.19824819748624
CanESM5,ssp245,2002-02,6.378725330714287,-0.018862605982142854,420.0,10.0,217.95608972841083
CanESM5,ssp245,2002-03,15.467604378064516,-0.015779126129032258,420.0,10.0,260.7340181736297
CanESM5,ssp245,2002-04,23.270791133333333,-0.017962282950000002,420.0,10.0,449.34592010778147
CanESM5,ssp245,2002-05,24.207142703225806,-0.03036208377419355,420.0,10.0,529.9794698548552
CanESM5,ssp245,2002-06,28.493572533333335,-0.044795635566666665,420.0,10.0,570.7660607740825
CanESM5,ssp245,2002-07,28.38041970967742,-0.030575105612903226,420.0,10.0,442.6457272451278
CanESM5,ssp245,2002-08,30.164978361290324,-0.03764960335483871,420.0,10.0,480.76541411938894
CanESM5,ssp245,2002-09,28.2403701,-0.0319649571,420.0,10.0,328.51491649084085
CanESM5,ssp245,2002-10,23.44826213548387,-0.016196906516129032,420.0,10.0,265.300651671901
CanESM5,ssp245,2002-11,15.721618153333335,-0.015087685383333334,420.0,10.0,260.0569224422021
CanESM5,ssp245,2002-12,12.718455880645163,-0.012299159161290322,420.0,10.0,189.77125575267306
CanESM5,ssp245,2003-01,7.294170068064516,-0.011282699032258066,420.0,10.0,218.9515689413677
CanESM5,ssp245,2003-02,15.889264728571428,-0.009286489996428572,420.0,10.0,181.73006234592896
CanESM5,ssp245,2003-03,16.825803903225808,-0.006271166364516129,420.0,10.0,214.75902565493266
CanESM5,ssp245,2003-04,20.167832866666664,-0.008319937236666667,420.0,10.0,404.95663014655804
CanESM5,ssp245,2003-05,25.753272445161286,-0.011743534467741937,420.0,10.0,424.95565508918645
CanESM5,ssp245,2003-06,26.273297566666667,-0.012584419033333332,420.0,10.0,325.40654152373645
CanESM5,ssp245,2003-07,27.964913022580642,-0.010346747725806451,420.0,10.0,380.3118026605812
CanESM5,ssp245,2003-08,29.90708812903226,-0.011331560774193549,420.0,10.0,486.04400981613327
CanESM5,ssp245,2003-09,25.6395047,-0.013494356333333334,420.0,10.0,500.97217436035714
CanESM5,ssp245,2003-10,22.082878032258066,-0.02260841870967742,420.0,10.0,595.7282087400777
CanESM5,ssp245,2003-11,20.672243666666667,-0.023163724733333335,420.0,10.0,476.3601866528719
CanESM5,ssp245,2003-12,11.300284235483872,-0.01955070906451613,420.0,10.0,220.38480679343377
CanESM5,ssp245,2004-01,11.601871877419354,-0.016139554612903225,420.0,10.0,227.9514344784892
CanESM5,ssp245,2004-02,9.865570906896552,-0.0101669365,420.0,10.0,147.69316541810065
CanESM5,ssp245,2004-03,18.136447312903226,-0.011457504564516129,420.0,10.0,428.0891498700928
CanESM5,ssp245,2004-04,21.548238716666667,-0.0159195214,420.0,10.0,588.2013270400956
CanESM5,ssp245,2004-05,26.317359403225808,-0.019405556709677422,420.0,10.0,569.2007378848174
