model,scenario,time,future_tair,psis,Ca,al,D
CanESM5,ssp245,2000-01,-2.7305759158064515,-0.09975414758064517,420.0,10.0,130.93200779693333
CanESM5,ssp245,2000-02,-0.14736432206896533,-0.09257146227586208,420.0,10.0,121.18439326042188
CanESM5,ssp245,2000-03,8.22690648632258,-0.08492594983870967,420.0,10.0,184.5040523318395
CanESM5,ssp245,2000-04,8.686366256666666,-0.07625598403333332,420.0,10.0,169.0947498395942
CanESM5,ssp245,2000-05,15.296662477419355,-0.0827967051935484,420.0,10.0,200.56179510531592
CanESM5,ssp245,2000-06,20.88046526666667,-0.0762524103,420.0,10.0,354.156717958497
CanESM5,ssp245,2000-07,23.683166548387096,-0.09004294370967743,420.0,10.0,384.2844908048143
CanESM5,ssp245,2000-08,23.20823164516129,-0.09349655351612902,420.0,10.0,362.60439634614914
CanESM5,ssp245,2000-09,18.960687916666668,-0.0924568137,420.0,10.0,386.0033941708457
CanESM5,ssp245,2000-10,13.196911269354839,-0.09445515132258064,420.0,10.0,284.1130393192968
CanESM5,ssp245,2000-11,8.7540321602,-0.0853667096,420.0,10.0,203.1693728454688
CanESM5,ssp245,2000-12,-2.3566559141935484,-0.08676039103225806,420.0,10.0,139.16371965057178
CanESM5,ssp245,2001-01,-3.2229002483870963,-0.08926453016129032,420.0,10.0,95.12612860538984
CanESM5,ssp245,2001-02,-1.0577718185714287,-0.08135847603571429,420.0,10.0,141.24387245704872
CanESM5,ssp245,2001-03,1.142435453677419,-0.07152977777419355,420.0,10.0,111.02321582899462
CanESM5,ssp245,2001-04,13.478348416666666,-0.07164308826666667,420.0,10.0,256.41334710060426
CanESM5,ssp245,2001-05,16.878468277419355,-0.08200279903225807,420.0,10.0,257.1040954009238
CanESM5,ssp245,2001-06,20.97107283333333,-0.09179128523333334,420.0,10.0,413.040594858752
CanESM5,ssp245,2001-07,22.173425503225804,-0.10452913451612904,420.0,10.0,497.28694453463885
CanESM5,ssp245,2001-08,25.177468667741934,-0.1314781729354839,420.0,10.0,425.3740010482743
CanESM5,ssp245,2001-09,19.84136705,-0.11348272383333334,420.0,10.0,377.9991840490915
CanESM5,ssp245,2001-10,14.70847165483871,-0.12675066841935484,420.0,10.0,363.46738426819763
CanESM5,ssp245,2001-11,8.526686043666666,-0.12370912313333333,420.0,10.0,195.18639634989054
CanESM5,ssp245,2001-12,5.757863044709677,-0.10601597545161291,420.0,10.0,155.7858804932061
CanESM5,ssp245,2002-01,2.8787813545161294,-0.11392808835483871,420.0,10.0,130.70930686195658
CanESM5,ssp245,2002-02,-0.9402921180357143,-0.09895062196428571,420.0,10.0,103.0498763245454
CanESM5,ssp245,2002-03,2.719674467096774,-0.09291109903225805,420.0,10.0,111.92888111587438
CanESM5,ssp245,2002-04,13.035844529999999,-0.09283897483333334,420.0,10.0,234.2628597689868
CanESM5,ssp245,2002-05,13.39198258387097,-0.08192506783870968,420.0,10.0,236.83677044521417
CanESM5,ssp245,2002-06,19.955171266666667,-0.0892304657,420.0,10.0,258.2957492993371
CanESM5,ssp245,2002-07,26.048203322580644,-0.12259221432258065,420.0,10.0,547.8196712079515
CanESM5,ssp245,2002-08,24.39863858064516,-0.14353321741935485,420.0,10.0,480.34005988345996
CanESM5,ssp245,2002-09,19.178393000000003,-0.12224340633333333,420.0,10.0,337.0405335326662
CanESM5,ssp245,2002-10,9.549867806451614,-0.10981581103225806,420.0,10.0,213.125546683794
CanESM5,ssp245,2002-11,7.636971783266667,-0.08574092583333333,420.0,10.0,138.61123009127203
CanESM5,ssp245,2002-12,2.625114555806452,-0.08505343774193548,420.0,10.0,139.77590393917515
CanESM5,ssp245,2003-01,-5.928753619354839,-0.09473297322580645,420.0,10.0,91.17606892256286
CanESM5,ssp245,2003-02,-0.16408387928571422,-0.09644537703571429,420.0,10.0,142.1857753335215
CanESM5,ssp245,2003-03,3.7498593099999997,-0.08205252158064516,420.0,10.0,89.14474222683202
CanESM5,ssp245,2003-04,8.498381046666667,-0.07493610333333334,420.0,10.0,148.0500371584959
CanESM5,ssp245,2003-05,13.869929222580645,-0.07954148212903225,420.0,10.0,155.29430116074025
CanESM5,ssp245,2003-06,19.197141966666663,-0.0780049938,420.0,10.0,272.0204289687011
CanESM5,ssp245,2003-07,25.58489621612903,-0.10192141348387097,420.0,10.0,418.84783451480456
CanESM5,ssp245,2003-08,25.530755290322578,-0.08323236832258064,420.0,10.0,332.5473964196043
CanESM5,ssp245,2003-09,19.521908983333333,-0.07580416113333334,420.0,10.0,250.7070627299392
CanESM5,ssp245,2003-10,12.789061822580646,-0.07463004261290324,420.0,10.0,254.3034475853865
