model,scenario,time,future_tair,psis,Ca,al,D
CanESM5,ssp585,2000-01,11.282044316129033,-0.5003215396774193,420.0,10.0,2001.258646295861
CanESM5,ssp585,2000-02,12.09594612413793,-0.18244337693103446,420.0,10.0,1570.0821847635088
CanESM5,ssp585,2000-03,12.106852812903226,-0.1067477585483871,420.0,10.0,2741.0431658100024
CanESM5,ssp585,2000-04,14.482027576666667,-0.09818979823333333,420.0,10.0,3787.6449422229607
CanESM5,ssp585,2000-05,17.327688880645162,-0.15091706396774193,420.0,10.0,5388.1946885113475
CanESM5,ssp585,2000-06,21.398926483333334,-0.25746242533333336,420.0,10.0,6756.935681432318
CanESM5,ssp585,2000-07,19.83660287096774,-0.36853457741935486,420.0,10.0,6768.527333770126
CanESM5,ssp585,2000-08,20.24731836451613,-0.5343431812903225,420.0,10.0,7419.824649932042
CanESM5,ssp585,2000-09,21.494454183333332,-0.6048591796666667,420.0,10.0,6191.874089154495
CanESM5,ssp585,2000-10,18.743228225806455,-0.5321267525806451,420.0,10.0,3752.6780540543286
CanESM5,ssp585,2000-11,11.987989736666666,-0.606684931,420.0,10.0,3454.87024660121
CanESM5,ssp585,2000-12,14.14648722580645,-0.6541914287096774,420.0,10.0,3719.202652640817
CanESM5,ssp585,2001-01,11.30285839032258,-0.20407787896774193,420.0,10.0,2766.67381779043
CanESM5,ssp585,2001-02,10.47640045,-0.10328988157142857,420.0,10.0,1981.212898399954
CanESM5,ssp585,2001-03,11.929277958064516,-0.06600900567741935,420.0,10.0,2187.943468224072
CanESM5,ssp585,2001-04,11.45295764,-0.0741233769,420.0,10.0,2746.455447038232
CanESM5,ssp585,2001-05,19.73297020967742,-0.15831024580645162,420.0,10.0,7025.96863705977
CanESM5,ssp585,2001-06,20.2763828,-0.29193185833333335,420.0,10.0,7936.086004730388
CanESM5,ssp585,2001-07,23.330186451612903,-0.41333611580645163,420.0,10.0,7862.670671739114
CanESM5,ssp585,2001-08,22.716104935483873,-0.5332247967741935,420.0,10.0,7994.395181264605
CanESM5,ssp585,2001-09,21.815111766666668,-0.6310863179999999,420.0,10.0,6477.863956534944
CanESM5,ssp585,2001-10,21.429837516129034,-0.6483834180645162,420.0,10.0,5985.037265428017
CanESM5,ssp585,2001-11,15.9785213,-0.2667952041666667,420.0,10.0,2609.246668598978
CanESM5,ssp585,2001-12,10.64252889032258,-0.23714928096774193,420.0,10.0,1874.4851129590986
CanESM5,ssp585,2002-01,10.743735903225808,-0.2039592793548387,420.0,10.0,2764.3070400383012
CanESM5,ssp585,2002-02,13.144309296428572,-0.23042962178571427,420.0,10.0,3457.2265159475705
CanESM5,ssp585,2002-03,14.086830348387096,-0.2646365632258065,420.0,10.0,2990.758034539071
CanESM5,ssp585,2002-04,16.47499330666667,-0.33055108333333333,420.0,10.0,3427.5040457233345
CanESM5,ssp585,2002-05,15.707532306451611,-0.4060905377419355,420.0,10.0,4455.860994755567
CanESM5,ssp585,2002-06,18.591288716666668,-0.5512677706666668,420.0,10.0,6518.959558015191
CanESM5,ssp585,2002-07,22.814394967741936,-0.7457298367741935,420.0,10.0,8991.482870609918
CanESM5,ssp585,2002-08,23.385708096774195,-0.8756885974193549,420.0,10.0,8772.218802439556
CanESM5,ssp585,2002-09,19.58514745,-0.886835213,420.0,10.0,7647.700147242999
CanESM5,ssp585,2002-10,17.15368970967742,-0.9044718277419355,420.0,10.0,5246.194705764608
CanESM5,ssp585,2002-11,16.719509216666665,-0.6904529826666667,420.0,10.0,6580.171901998242
CanESM5,ssp585,2002-12,12.46673085483871,-0.23912704722580644,420.0,10.0,2216.183575318595
CanESM5,ssp585,2003-01,12.638321403225806,-0.3216033638709678,420.0,10.0,3565.8012576021574
CanESM5,ssp585,2003-02,10.490983449999998,-0.21756174392857144,420.0,10.0,2749.4811393156388
CanESM5,ssp585,2003-03,11.307656522580643,-0.1531455779032258,420.0,10.0,3007.2949250426755
CanESM5,ssp585,2003-04,11.725847876666666,-0.16427930616666667,420.0,10.0,2594.7017603962736
CanESM5,ssp585,2003-05,16.490493096774195,-0.2333866241935484,420.0,10.0,5319.0642467898115
CanESM5,ssp585,2003-06,20.272082933333333,-0.380390315,420.0,10.0,6986.0995004826855
CanESM5,ssp585,2003-07,22.73960822580645,-0.579379255483871,420.0,10.0,11045.451283874361
CanESM5,ssp585,2003-08,21.760836658064516,-0.7361356103225807,420.0,10.0,8265.657729125774
CanESM5,ssp585,2003-09,20.89615825,-0.865800685,420.0,10.0,8384.844531039138
CanESM5,ssp585,2003-10,22.869268887096773,-0.8925825277419355,420.0,10.0,9493.267680959332
CanESM5,ssp585,2003-11,15.308573863333335,-0.6666877640000001,420.0,10.0,4091.6027767210508
CanESM5,ssp585,2003-12,12.655864829032257,-0.3841244309677419,420.0,10.0,3028.6319150814056
CanESM5,ssp585,2004-01,10.112928706451612,-0.3734229587096774,420.0,10.0,2675.6017160593233
CanESM5,ssp585,2004-02,10.87003911724138,-0.242504865,420.0,10.0,2131.448737005654
CanESM5,ssp585,2004-03,17.79697432903226,-0.22584022548387098,420.0,10.0,5040.764482300365
CanESM5,ssp585,2004-04,17.97865635,-0.304086409,420.0,10.0,5262.021488873169
CanESM5,ssp585,2004-05,18.62831666129032,-0.4648711029032258,420.0,10.0,5918.932240779339
CanESM5,ssp585,2004-06,20.831419316666665,-0.5682476439999999,420.0,10.0,7226.183252612758
CanESM5,ssp585,2004-07,23.536395561290323,-0.7267640522580645,420.0,10.0,8534.666172063227
CanESM5,ssp585,2004-08,24.300371516129033,-0.8765020264516129,420.0,10.0,9401.382836769302
CanESM5,ssp585,2004-09,22.973158866666665,-0.917590505,420.0,10.0,9499.950113369645
CanESM5,ssp585,2004-10,20.165864006451613,-0.7637371780645161,420.0,10.0,4480.282536832534
CanESM5,ssp585,2004-11,14.37451823,-0.39613000666666665,420.0,10.0,3967.0132083071644
CanESM5,ssp585,2004-12,12.198291358064516,-0.30796087903225805,420.0,10.0,3150.4451050352955
CanESM5,ssp585,2005-01,11.79151469032258,-0.043641719806451616,420.0,10.0,1281.5390115454265
CanESM5,ssp585,2005-02,14.795826875,-0.025499678214285715,420.0,10.0,1653.941859791526
CanESM5,ssp585,2005-03,14.143505506451612,-0.018213251838709678,420.0,10.0,2488.7911327759543
CanESM5,ssp585,2005-04,15.075196759999999,-0.02765382436666667,420.0,10.0,3880.1810028191694
CanESM5,ssp585,2005-05,18.151797177419354,-0.04451154519354839,420.0,10.0,4847.795266811505
CanESM5,ssp585,2005-06,19.897739083333335,-0.0960673234,420.0,10.0,5795.966790752501
CanESM5,ssp585,2005-07,23.41851508064516,-0.1985069206451613,420.0,10.0,9206.514507198615
CanESM5,ssp585,2005-08,24.821293532258064,-0.3327977629032258,420.0,10.0,10573.278785240764
CanESM5,ssp585,2005-09,20.774971266666668,-0.43085838499999995,420.0,10.0,7876.289065535986
CanESM5,ssp585,2005-10,18.81297251935484,-0.43969798806451615,420.0,10.0,6586.864033109003
CanESM5,ssp585,2005-11,19.000712553333333,-0.31006053066666667,420.0,10.0,7928.727115960359
CanESM5,ssp585,2005-12,11.89199238064516,-0.2519784941935484,420.0,10.0,3577.346555104909
CanESM5,ssp585,2006-01,12.354371206451614,-0.14173948258064514,420.0,10.0,3125.608969472574
CanESM5,ssp585,2006-02,14.456550914285714,-0.15902050571428572,420.0,10.0,4856.6929346109455
CanESM5,ssp585,2006-03,12.636170400000001,-0.09376624735483871,420.0,10.0,2070.555869098925
CanESM5,ssp585,2006-04,15.289289700000001,-0.06607959943333333,420.0,10.0,2461.6376620073816
CanESM5,ssp585,2006-05,19.600304422580646,-0.07801800493548387,420.0,10.0,6453.706888338516
CanESM5,ssp585,2006-06,22.42800225,-0.181624352,420.0,10.0,8979.608816672637
CanESM5,ssp585,2006-07,26.106005380645165,-0.36638826387096773,420.0,10.0,13221.350494232753
CanESM5,ssp585,2006-08,23.028125193548384,-0.47924557903225806,420.0,10.0,9018.082460248594
CanESM5,ssp585,2006-09,21.3531081,-0.6301958463333333,420.0,10.0,9424.86146934983
CanESM5,ssp585,2006-10,19.367027925806454,-0.620796325483871,420.0,10.0,6577.010303412642
CanESM5,ssp585,2006-11,18.4789718,-0.6532564989999999,420.0,10.0,6365.854877857904
CanESM5,ssp585,2006-12,13.401006951612903,-0.5107570332258065,420.0,10.0,4522.624325720815
CanESM5,ssp585,2007-01,10.82320471935484,-0.4628196877419355,420.0,10.0,4057.0018446786235
CanESM5,ssp585,2007-02,15.372918667857142,-0.33890999678571426,420.0,10.0,3064.1330785052596
CanESM5,ssp585,2007-03,15.17157272580645,-0.4313851935483871,420.0,10.0,4489.463518326322
CanESM5,ssp585,2007-04,15.089170616666667,-0.434195059,420.0,10.0,4222.883181120958
CanESM5,ssp585,2007-05,18.15316660967742,-0.6444658409677418,420.0,10.0,6359.600806861399
CanESM5,ssp585,2007-06,20.414059933333334,-0.8006950176666667,420.0,10.0,7749.085003572008
CanESM5,ssp585,2007-07,23.516834806451612,-0.9098929977419354,420.0,10.0,8650.745628964689
CanESM5,ssp585,2007-08,24.251170512903222,-0.9291256558064516,420.0,10.0,9808.12245365628
CanESM5,ssp585,2007-09,21.057463966666667,-0.896734969,420.0,10.0,6149.566072938771
CanESM5,ssp585,2007-10,20.33238646451613,-0.8498576841935483,420.0,10.0,7214.418450718022
