model,scenario,time,future_tair,psis,Ca,al,D
E3SM-1-1,ssp585,2000-01,13.072591019354839,-0.037650471290322576,420.0,10.0,223.6247925563657
E3SM-1-1,ssp585,2000-02,19.6551318,-0.03711491686206896,420.0,10.0,385.37909314518345
E3SM-1-1,ssp585,2000-03,22.557210961290323,-0.036790525935483875,420.0,10.0,393.66881678779686
E3SM-1-1,ssp585,2000-04,24.416684000000004,-0.02689620213333333,420.0,10.0,572.5581823416619
E3SM-1-1,ssp585,2000-05,30.659366354838706,-0.053205277354838716,420.0,10.0,870.3239091313857
E3SM-1-1,ssp585,2000-06,31.7574534,-0.0651940437,420.0,10.0,927.9184811275022
E3SM-1-1,ssp585,2000-07,35.50216141935484,-0.08516951158064516,420.0,10.0,1559.854294916873
E3SM-1-1,ssp585,2000-08,35.82501563548387,-0.07730569783870968,420.0,10.0,1551.2172470861685
E3SM-1-1,ssp585,2000-09,31.548172966666666,-0.08179185230000001,420.0,10.0,1002.1542440915783
E3SM-1-1,ssp585,2000-10,29.339286403225806,-0.09501639193548388,420.0,10.0,1481.0655426770372
E3SM-1-1,ssp585,2000-11,20.300078866666666,-0.06221146103333333,420.0,10.0,445.3983690956789
E3SM-1-1,ssp585,2000-12,8.965452733548387,-0.033407611387096775,420.0,10.0,205.0594129276608
E3SM-1-1,ssp585,2001-01,9.289259930322581,-0.022084291967741938,420.0,10.0,174.17341082200204
E3SM-1-1,ssp585,2001-02,17.475347071428573,-0.018121422999999998,420.0,10.0,241.20028217467927
E3SM-1-1,ssp585,2001-03,16.904461051612905,-0.011903030322580646,420.0,10.0,375.07939397131696
E3SM-1-1,ssp585,2001-04,26.309698400000002,-0.014966032466666666,420.0,10.0,735.8628165858494
E3SM-1-1,ssp585,2001-05,29.22064846774194,-0.03147214825806451,420.0,10.0,971.9052767671018
E3SM-1-1,ssp585,2001-06,32.281020133333335,-0.029424434633333333,420.0,10.0,679.3307737093781
E3SM-1-1,ssp585,2001-07,34.41782758064516,-0.03134837664516129,420.0,10.0,773.0918523571867
E3SM-1-1,ssp585,2001-08,33.78632817096774,-0.029606833322580645,420.0,10.0,615.3455423266348
E3SM-1-1,ssp585,2001-09,31.957841233333333,-0.027555257266666668,420.0,10.0,660.1475284587251
E3SM-1-1,ssp585,2001-10,27.530228322580644,-0.03752912380645162,420.0,10.0,971.4722544885287
E3SM-1-1,ssp585,2001-11,24.342686553333333,-0.03650823536666667,420.0,10.0,683.4526387427932
