model,scenario,time,future_tair,psis,Ca,al,D
E3SM-1-1,ssp585,2000-01,1.4383447841935482,-0.09975414758064517,420.0,10.0,177.64064376002742
E3SM-1-1,ssp585,2000-02,7.445781277931035,-0.09257146227586208,420.0,10.0,207.14964904947269
E3SM-1-1,ssp585,2000-03,12.420454186322582,-0.08492594983870967,420.0,10.0,244.19532823514564
E3SM-1-1,ssp585,2000-04,15.107392256666667,-0.07625598403333332,420.0,10.0,258.34067484326675
E3SM-1-1,ssp585,2000-05,24.550299677419353,-0.0827967051935484,420.0,10.0,355.8378334064734
E3SM-1-1,ssp585,2000-06,26.941994666666666,-0.0762524103,420.0,10.0,509.72004848377037
E3SM-1-1,ssp585,2000-07,29.125311548387096,-0.09004294370967743,420.0,10.0,529.6080645990425
E3SM-1-1,ssp585,2000-08,29.263931645161293,-0.09349655351612902,420.0,10.0,518.372207381083
E3SM-1-1,ssp585,2000-09,23.818176516666668,-0.0924568137,420.0,10.0,519.7475891193506
E3SM-1-1,ssp585,2000-10,17.51054616935484,-0.09445515132258064,420.0,10.0,374.7765715352191
E3SM-1-1,ssp585,2000-11,9.6572361602,-0.0853667096,420.0,10.0,215.93013390243823
E3SM-1-1,ssp585,2000-12,-0.15386061419354835,-0.08676039103225806,420.0,10.0,163.64135799424972
E3SM-1-1,ssp585,2001-01,1.1367858516129035,-0.08926453016129032,420.0,10.0,131.01658300328972
E3SM-1-1,ssp585,2001-02,6.8898969814285715,-0.08135847603571429,420.0,10.0,248.41304169698782
E3SM-1-1,ssp585,2001-03,7.475480053677419,-0.07152977777419355,420.0,10.0,173.19584073405701
E3SM-1-1,ssp585,2001-04,15.484702016666667,-0.07164308826666667,420.0,10.0,291.9246677225969
E3SM-1-1,ssp585,2001-05,21.838099677419358,-0.08200279903225807,420.0,10.0,350.04518034651727
E3SM-1-1,ssp585,2001-06,28.437540033333335,-0.09179128523333334,420.0,10.0,645.0858092372912
E3SM-1-1,ssp585,2001-07,27.406738403225805,-0.10452913451612904,420.0,10.0,679.5439076564887
E3SM-1-1,ssp585,2001-08,31.929122967741932,-0.1314781729354839,420.0,10.0,629.2432231071462
E3SM-1-1,ssp585,2001-09,25.966434049999997,-0.11348272383333334,420.0,10.0,547.6775518518347
E3SM-1-1,ssp585,2001-10,19.567882654838712,-0.12675066841935484,420.0,10.0,494.3945028957521
E3SM-1-1,ssp585,2001-11,14.933094443666668,-0.12370912313333333,420.0,10.0,298.08454645256484
E3SM-1-1,ssp585,2001-12,9.577967344709679,-0.10601597545161291,420.0,10.0,202.22522030062026
E3SM-1-1,ssp585,2002-01,7.135836854516129,-0.11392808835483871,420.0,10.0,175.93987933202462
E3SM-1-1,ssp585,2002-02,8.989309651964286,-0.09895062196428571,420.0,10.0,207.31813833183887
E3SM-1-1,ssp585,2002-03,11.297927367096774,-0.09291109903225805,420.0,10.0,201.7519634760417
E3SM-1-1,ssp585,2002-04,16.962608529999997,-0.09283897483333334,420.0,10.0,301.6503072607038
E3SM-1-1,ssp585,2002-05,21.91655548387097,-0.08192506783870968,420.0,10.0,405.4394331526614
E3SM-1-1,ssp585,2002-06,26.22507506666667,-0.0892304657,420.0,10.0,377.3328382571219
E3SM-1-1,ssp585,2002-07,29.892905322580646,-0.12259221432258065,420.0,10.0,685.3081103163528
E3SM-1-1,ssp585,2002-08,31.03414258064516,-0.14353321741935485,420.0,10.0,707.5016776444363
E3SM-1-1,ssp585,2002-09,26.575218900000003,-0.12224340633333333,420.0,10.0,527.478643140105
E3SM-1-1,ssp585,2002-10,19.926826706451614,-0.10981581103225806,420.0,10.0,416.39268848505355
E3SM-1-1,ssp585,2002-11,11.802413083266666,-0.08574092583333333,420.0,10.0,183.36056109556313
E3SM-1-1,ssp585,2002-12,4.293088955806452,-0.08505343774193548,420.0,10.0,157.27078739731
E3SM-1-1,ssp585,2003-01,0.20684158064516112,-0.09473297322580645,420.0,10.0,144.07966583354022
E3SM-1-1,ssp585,2003-02,0.6778103207142854,-0.09644537703571429,420.0,10.0,151.15001805510252
E3SM-1-1,ssp585,2003-03,9.96708931,-0.08205252158064516,420.0,10.0,136.6932558580345
E3SM-1-1,ssp585,2003-04,15.951573046666667,-0.07493610333333334,420.0,10.0,241.82964580404882
E3SM-1-1,ssp585,2003-05,21.487030822580643,-0.07954148212903225,420.0,10.0,251.030532926937
E3SM-1-1,ssp585,2003-06,26.388218066666667,-0.0780049938,420.0,10.0,420.56556566740596
E3SM-1-1,ssp585,2003-07,28.78528051612903,-0.10192141348387097,420.0,10.0,505.22789843691004
E3SM-1-1,ssp585,2003-08,29.72570729032258,-0.08323236832258064,420.0,10.0,424.85088344875686
E3SM-1-1,ssp585,2003-09,25.111300783333334,-0.07580416113333334,420.0,10.0,352.1919920366215
E3SM-1-1,ssp585,2003-10,17.484135522580644,-0.07463004261290324,420.0,10.0,343.951049573421
E3SM-1-1,ssp585,2003-11,14.365013708000001,-0.0709466392,420.0,10.0,250.5201694548606
E3SM-1-1,ssp585,2003-12,8.000264971935483,-0.06230102787096774,420.0,10.0,195.6367082412274
E3SM-1-1,ssp585,2004-01,-1.830909750000001,-0.07123583729032258,420.0,10.0,160.86716031681613
E3SM-1-1,ssp585,2004-02,5.543718849655173,-0.07519844941379311,420.0,10.0,237.6951571071528
E3SM-1-1,ssp585,2004-03,8.726076323548387,-0.0792687300967742,420.0,10.0,157.8522118536445
E3SM-1-1,ssp585,2004-04,14.9286806432,-0.0584057156,420.0,10.0,263.92085892502723
E3SM-1-1,ssp585,2004-05,24.100190274193547,-0.06473559603225806,420.0,10.0,310.6724353699225
E3SM-1-1,ssp585,2004-06,26.036965433333332,-0.08293347893333333,420.0,10.0,518.8095793914322
E3SM-1-1,ssp585,2004-07,28.23940358064516,-0.09134532367741936,420.0,10.0,346.41816901841014
E3SM-1-1,ssp585,2004-08,29.541709032258062,-0.08608842058064516,420.0,10.0,348.0021326400036
E3SM-1-1,ssp585,2004-09,26.72231251666667,-0.07811781459999999,420.0,10.0,433.8929998270823
E3SM-1-1,ssp585,2004-10,18.5919412,-0.07404708738709678,420.0,10.0,304.22491879813384
E3SM-1-1,ssp585,2004-11,11.039393373333333,-0.07579257043333333,420.0,10.0,242.3136886588198
E3SM-1-1,ssp585,2004-12,5.763737540322581,-0.06402588825806452,420.0,10.0,117.59521856717214
E3SM-1-1,ssp585,2005-01,4.050828931412903,-0.06688709809677419,420.0,10.0,144.76146308639164
E3SM-1-1,ssp585,2005-02,4.2001240907142865,-0.07032313785714286,420.0,10.0,129.36602447841148
E3SM-1-1,ssp585,2005-03,7.372436381290323,-0.05872461609677419,420.0,10.0,130.44393465273654
E3SM-1-1,ssp585,2005-04,17.844165703333335,-0.05626152253333334,420.0,10.0,286.1426961126353
E3SM-1-1,ssp585,2005-05,20.284088922580644,-0.05582506151612903,420.0,10.0,246.8525691138716
E3SM-1-1,ssp585,2005-06,31.515546433333334,-0.06404316443333333,420.0,10.0,430.5778705462856
E3SM-1-1,ssp585,2005-07,30.372745161290325,-0.08690954696774195,420.0,10.0,520.2104163891502
E3SM-1-1,ssp585,2005-08,31.12612829032258,-0.10681288474193548,420.0,10.0,605.899447067907
E3SM-1-1,ssp585,2005-09,29.057338066666667,-0.11649405060000001,420.0,10.0,651.3134626036575
E3SM-1-1,ssp585,2005-10,18.70877400967742,-0.07653862751612904,420.0,10.0,268.2990823959812
E3SM-1-1,ssp585,2005-11,10.21552885,-0.07038189859999999,420.0,10.0,212.50395015490741
E3SM-1-1,ssp585,2005-12,4.402628160967742,-0.06807661164516128,420.0,10.0,168.75340685873235
E3SM-1-1,ssp585,2006-01,8.83897572132258,-0.06349105448387098,420.0,10.0,145.97442377804688
E3SM-1-1,ssp585,2006-02,8.320436184642857,-0.060799991857142854,420.0,10.0,274.13003714348906
E3SM-1-1,ssp585,2006-03,9.75965668080645,-0.07084383683870968,420.0,10.0,300.520419724923
E3SM-1-1,ssp585,2006-04,19.27252949,-0.074917784,420.0,10.0,416.2620399224479
E3SM-1-1,ssp585,2006-05,22.07282580645161,-0.062183462806451616,420.0,10.0,293.6156246067732
E3SM-1-1,ssp585,2006-06,29.1768791,-0.052782601033333335,420.0,10.0,289.77699155267794
E3SM-1-1,ssp585,2006-07,32.75954167741936,-0.07581986912903227,420.0,10.0,574.5572666471414
E3SM-1-1,ssp585,2006-08,29.392089322580645,-0.08925463725806451,420.0,10.0,580.3886578532889
E3SM-1-1,ssp585,2006-09,24.085378633333335,-0.0871993488,420.0,10.0,414.7895005570313
E3SM-1-1,ssp585,2006-10,19.765888622580647,-0.07444463790322581,420.0,10.0,443.23089049320953
E3SM-1-1,ssp585,2006-11,16.927283956666667,-0.06684042533333333,420.0,10.0,262.88351516792494
E3SM-1-1,ssp585,2006-12,11.728460330064516,-0.06795851035483871,420.0,10.0,302.25038177974585
E3SM-1-1,ssp585,2007-01,7.922892354516129,-0.06880211232258066,420.0,10.0,254.9415540442895
E3SM-1-1,ssp585,2007-02,1.6529797571428562,-0.07563916717857143,420.0,10.0,197.31933110194586
E3SM-1-1,ssp585,2007-03,10.221930883677418,-0.07292530574193548,420.0,10.0,304.6820635612154
E3SM-1-1,ssp585,2007-04,19.764446329080002,-0.0621897653,420.0,10.0,367.1837478093674
E3SM-1-1,ssp585,2007-05,22.703463806451612,-0.07121556680645161,420.0,10.0,542.2541800562763
E3SM-1-1,ssp585,2007-06,26.986198899999998,-0.09036999493333334,420.0,10.0,501.7745922523881
E3SM-1-1,ssp585,2007-07,29.10262077419355,-0.10073218116129032,420.0,10.0,459.33091672225225
E3SM-1-1,ssp585,2007-08,30.048704612903222,-0.12585667229032257,420.0,10.0,661.116087583753
E3SM-1-1,ssp585,2007-09,26.9776175,-0.12409750596666667,420.0,10.0,643.4630916253478
E3SM-1-1,ssp585,2007-10,25.05591448064516,-0.10425297248387097,420.0,10.0,448.52102118821404
E3SM-1-1,ssp585,2007-11,12.464806003666666,-0.09721567626666668,420.0,10.0,305.29521620691355
E3SM-1-1,ssp585,2007-12,4.202683341935485,-0.09742500329032258,420.0,10.0,163.73752658027564
E3SM-1-1,ssp585,2008-01,3.414521557741936,-0.09472788241935483,420.0,10.0,190.33448721633548
E3SM-1-1,ssp585,2008-02,4.673992788620691,-0.07439523606896552,420.0,10.0,157.36765965992922
E3SM-1-1,ssp585,2008-03,6.870153768225807,-0.07009346325806451,420.0,10.0,225.54551012633382
E3SM-1-1,ssp585,2008-04,19.148176516666666,-0.06637096376666667,420.0,10.0,404.5619228053767
E3SM-1-1,ssp585,2008-05,23.717752532258068,-0.07909244703225807,420.0,10.0,571.4576212323949
E3SM-1-1,ssp585,2008-06,30.01630396666667,-0.08483234663333333,420.0,10.0,385.52034997259744
E3SM-1-1,ssp585,2008-07,30.752856161290325,-0.08071450522580645,420.0,10.0,497.03197489833195
E3SM-1-1,ssp585,2008-08,29.027008290322577,-0.08884079480645161,420.0,10.0,434.561276026144
E3SM-1-1,ssp585,2008-09,25.999980766666667,-0.07765992516666667,420.0,10.0,456.57710527694206
E3SM-1-1,ssp585,2008-10,21.402689888387098,-0.0769157743548387,420.0,10.0,537.1327748483766
E3SM-1-1,ssp585,2008-11,11.376324656666668,-0.0769276195,420.0,10.0,267.90079685982647
E3SM-1-1,ssp585,2008-12,6.906671417419355,-0.06343384170967742,420.0,10.0,193.21666043421783
E3SM-1-1,ssp585,2009-01,1.2110987580645158,-0.07068751509677419,420.0,10.0,162.79820266568981
E3SM-1-1,ssp585,2009-02,7.283094617857143,-0.07115253917857142,420.0,10.0,240.03183678613365
E3SM-1-1,ssp585,2009-03,12.041880180580645,-0.07174220916129033,420.0,10.0,313.6717727999159
E3SM-1-1,ssp585,2009-04,17.90844754333333,-0.08027005276666667,420.0,10.0,398.7373860459759
E3SM-1-1,ssp585,2009-05,24.41289425806452,-0.07285891948387097,420.0,10.0,398.4104722971919
E3SM-1-1,ssp585,2009-06,28.002359733333332,-0.0743659734,420.0,10.0,320.17833923127716
E3SM-1-1,ssp585,2009-07,28.162630096774194,-0.06755096706451613,420.0,10.0,412.44833687466456
E3SM-1-1,ssp585,2009-08,30.657408758064513,-0.07540997125806452,420.0,10.0,467.17527166586336
E3SM-1-1,ssp585,2009-09,25.058023483333333,-0.09013537939999999,420.0,10.0,590.8060929450121
E3SM-1-1,ssp585,2009-10,18.76918690967742,-0.07974521216129032,420.0,10.0,389.00089460062844
E3SM-1-1,ssp585,2009-11,16.41697627,-0.0750883116,420.0,10.0,343.0598510791029
E3SM-1-1,ssp585,2009-12,5.807710904516128,-0.07267009622580645,420.0,10.0,247.8794481693937
E3SM-1-1,ssp585,2010-01,4.737816242903226,-0.07603865119354838,420.0,10.0,208.38278880543356
E3SM-1-1,ssp585,2010-02,7.433700123392859,-0.07257207239285714,420.0,10.0,221.0317311902027
E3SM-1-1,ssp585,2010-03,13.70697032967742,-0.06733204932258065,420.0,10.0,287.32743712384826
E3SM-1-1,ssp585,2010-04,19.152033433333337,-0.06601756076666666,420.0,10.0,373.64402972691784
E3SM-1-1,ssp585,2010-05,27.29733937096774,-0.0831582643548387,420.0,10.0,594.2278996909683
E3SM-1-1,ssp585,2010-06,27.944764233333334,-0.0942013373,420.0,10.0,388.37352266073276
E3SM-1-1,ssp585,2010-07,32.491022709677424,-0.11513199493548386,420.0,10.0,756.6139877849595
E3SM-1-1,ssp585,2010-08,30.11611725806452,-0.12950856951612902,420.0,10.0,639.234142740928
E3SM-1-1,ssp585,2010-09,29.005452500000004,-0.141977483,420.0,10.0,604.6335917247734
E3SM-1-1,ssp585,2010-10,18.831493022580645,-0.08900754822580645,420.0,10.0,381.28998684130636
E3SM-1-1,ssp585,2010-11,14.108653874333333,-0.09692211186666667,420.0,10.0,354.1514428263635
E3SM-1-1,ssp585,2010-12,7.663157520967742,-0.09339711477419355,420.0,10.0,211.34264249257436
E3SM-1-1,ssp585,2011-01,3.7772969638709677,-0.1023624813548387,420.0,10.0,182.75711434562504
E3SM-1-1,ssp585,2011-02,4.830608576071428,-0.08860440800000001,420.0,10.0,236.70827747910258
E3SM-1-1,ssp585,2011-03,15.366658076129033,-0.08399842338709677,420.0,10.0,367.4312734254805
E3SM-1-1,ssp585,2011-04,20.010569213333333,-0.0802304483,420.0,10.0,323.0175580078667
E3SM-1-1,ssp585,2011-05,24.419664,-0.07182210425806451,420.0,10.0,207.02309120417186
E3SM-1-1,ssp585,2011-06,28.54379013333333,-0.07734264636666667,420.0,10.0,440.2575452438596
E3SM-1-1,ssp585,2011-07,30.478235387096774,-0.10422988558064515,420.0,10.0,707.2924337058962
E3SM-1-1,ssp585,2011-08,29.11871493548387,-0.09449480774193549,420.0,10.0,444.8518447135443
E3SM-1-1,ssp585,2011-09,27.529353266666668,-0.08618746816666666,420.0,10.0,408.40068157485274
E3SM-1-1,ssp585,2011-10,23.764966722580645,-0.057714973387096774,420.0,10.0,539.3424949712352
E3SM-1-1,ssp585,2011-11,16.899625833333335,-0.0627422052,420.0,10.0,372.4283808910114
E3SM-1-1,ssp585,2011-12,10.319320270967742,-0.0611972254516129,420.0,10.0,267.9104136216594
E3SM-1-1,ssp585,2012-01,7.806323174193548,-0.06395938303225807,420.0,10.0,243.6595065053553
E3SM-1-1,ssp585,2012-02,12.42426145,-0.07148013134482759,420.0,10.0,384.7376322792321
E3SM-1-1,ssp585,2012-03,14.53934370387097,-0.07599637719354839,420.0,10.0,339.419026695992
E3SM-1-1,ssp585,2012-04,20.658401273333332,-0.08075989756666666,420.0,10.0,608.076980277726
E3SM-1-1,ssp585,2012-05,30.075808967741935,-0.07960634412903227,420.0,10.0,379.88494504054796
E3SM-1-1,ssp585,2012-06,29.086115566666667,-0.08340510286666666,420.0,10.0,628.8396871506847
E3SM-1-1,ssp585,2012-07,32.400874,-0.1089386869032258,420.0,10.0,996.2981831821278
