model,scenario,time,future_tair,psis,Ca,al,D
E3SM-1-1,ssp585,2000-01,15.785812016129032,-0.5003215396774193,420.0,10.0,2683.5886678258375
E3SM-1-1,ssp585,2000-02,15.28315462413793,-0.18244337693103446,420.0,10.0,1931.8522781689194
E3SM-1-1,ssp585,2000-03,11.966363712903226,-0.1067477585483871,420.0,10.0,2715.775387427584
E3SM-1-1,ssp585,2000-04,11.700943976666668,-0.09818979823333333,420.0,10.0,3158.0379039649433
E3SM-1-1,ssp585,2000-05,16.96661858064516,-0.15091706396774193,420.0,10.0,5266.4425399042975
E3SM-1-1,ssp585,2000-06,19.792738883333335,-0.25746242533333336,420.0,10.0,6120.231145860249
E3SM-1-1,ssp585,2000-07,18.972602970967742,-0.36853457741935486,420.0,10.0,6414.435235032696
E3SM-1-1,ssp585,2000-08,20.891039464516126,-0.5343431812903225,420.0,10.0,7720.1047276230165
E3SM-1-1,ssp585,2000-09,20.742637183333333,-0.6048591796666667,420.0,10.0,5912.685447695934
E3SM-1-1,ssp585,2000-10,18.403794825806454,-0.5321267525806451,420.0,10.0,3673.786598669219
E3SM-1-1,ssp585,2000-11,13.513394136666667,-0.606684931,420.0,10.0,3818.154423172625
E3SM-1-1,ssp585,2000-12,13.02543792580645,-0.6541914287096774,420.0,10.0,3457.407943298335
E3SM-1-1,ssp585,2001-01,11.390671290322581,-0.20407787896774193,420.0,10.0,2782.8250375936
E3SM-1-1,ssp585,2001-02,9.871983049999999,-0.10328988157142857,420.0,10.0,1902.6810139091035
E3SM-1-1,ssp585,2001-03,12.482056658064515,-0.06600900567741935,420.0,10.0,2269.0289513755533
E3SM-1-1,ssp585,2001-04,11.36199854,-0.0741233769,420.0,10.0,2729.953957253406
E3SM-1-1,ssp585,2001-05,16.36454520967742,-0.15831024580645162,420.0,10.0,5685.334343434142
E3SM-1-1,ssp585,2001-06,20.5246266,-0.29193185833333335,420.0,10.0,8058.59703675253
E3SM-1-1,ssp585,2001-07,20.109863451612902,-0.41333611580645163,420.0,10.0,6458.585703488689
E3SM-1-1,ssp585,2001-08,18.52736743548387,-0.5332247967741935,420.0,10.0,6176.041657599157
E3SM-1-1,ssp585,2001-09,20.50100816666667,-0.6310863179999999,420.0,10.0,5976.116284777731
E3SM-1-1,ssp585,2001-10,20.31348751612903,-0.6483834180645162,420.0,10.0,5588.007990379552
E3SM-1-1,ssp585,2001-11,16.628254300000002,-0.2667952041666667,420.0,10.0,2719.5406916914744
E3SM-1-1,ssp585,2001-12,12.95162449032258,-0.23714928096774193,420.0,10.0,2183.318636999714
E3SM-1-1,ssp585,2002-01,11.615820103225808,-0.2039592793548387,420.0,10.0,2929.0414249723176
E3SM-1-1,ssp585,2002-02,15.295629196428571,-0.23042962178571427,420.0,10.0,3974.2381888988793
E3SM-1-1,ssp585,2002-03,14.965811448387097,-0.2646365632258065,420.0,10.0,3165.5586262712814
E3SM-1-1,ssp585,2002-04,14.328309106666667,-0.33055108333333333,420.0,10.0,2986.385575990948
E3SM-1-1,ssp585,2002-05,16.20226680645161,-0.4060905377419355,420.0,10.0,4598.968058475834
E3SM-1-1,ssp585,2002-06,19.22493911666667,-0.5512677706666668,420.0,10.0,6782.017618404228
E3SM-1-1,ssp585,2002-07,22.912492267741936,-0.7457298367741935,420.0,10.0,9045.04727994071
E3SM-1-1,ssp585,2002-08,20.999460496774194,-0.8756885974193549,420.0,10.0,7586.398126992573
E3SM-1-1,ssp585,2002-09,21.28096205,-0.886835213,420.0,10.0,8491.1916510333
E3SM-1-1,ssp585,2002-10,18.00728000967742,-0.9044718277419355,420.0,10.0,5536.434768997693
E3SM-1-1,ssp585,2002-11,16.439127516666666,-0.6904529826666667,420.0,10.0,6463.904740462545
E3SM-1-1,ssp585,2002-12,13.74506485483871,-0.23912704722580644,420.0,10.0,2409.3016416138316
E3SM-1-1,ssp585,2003-01,14.983275403225804,-0.3216033638709678,420.0,10.0,4152.851249646168
E3SM-1-1,ssp585,2003-02,13.256713949999998,-0.21756174392857144,420.0,10.0,3300.1680091736534
E3SM-1-1,ssp585,2003-03,16.171409522580646,-0.1531455779032258,420.0,10.0,4126.191207192352
E3SM-1-1,ssp585,2003-04,12.874177076666667,-0.16427930616666667,420.0,10.0,2798.2949735431907
E3SM-1-1,ssp585,2003-05,16.243925096774195,-0.2333866241935484,420.0,10.0,5236.188406998382
E3SM-1-1,ssp585,2003-06,18.818117333333333,-0.380390315,420.0,10.0,6382.743257780548
E3SM-1-1,ssp585,2003-07,22.14092822580645,-0.579379255483871,420.0,10.0,10650.97831570318
E3SM-1-1,ssp585,2003-08,23.819566258064516,-0.7361356103225807,420.0,10.0,9363.62764113968
E3SM-1-1,ssp585,2003-09,22.00624925,-0.865800685,420.0,10.0,8974.392968961478
E3SM-1-1,ssp585,2003-10,21.487202287096775,-0.8925825277419355,420.0,10.0,8727.324197086979
