time,psis,tair,D,Ca,al
2000-01-01,-0.106888235,-3.269104,1.127176,420,10
2000-01-02,-0.10737077,-2.5480652,0.8877425,420,10
2000-01-03,-0.107846856,-2.5410767,1.36741,420,10
2000-01-04,-0.108452275,-8.02298,1.0627563,420,10
2000-01-05,-0.108849205,-6.679291,0.6510074,420,10
2000-01-06,-0.10700529,-2.421936,1.1211812,420,10
2000-01-07,-0.10215275,1.9062195,1.4473906,420,10
2000-01-08,-0.10093431,-0.46603394,1.335875,420,10
2000-01-09,-0.097073264,-4.3371887,1.1230044,420,10
2000-01-10,-0.08524526,2.5426025,0.8881521,420,10
2000-01-11,-0.070634365,-0.66641235,1.0974703,420,10
2000-01-12,-0.078606635,-9.127594,0.8785322,420,10
2000-01-13,-0.08571218,-5.819702,1.4246697,420,10
2000-01-14,-0.090892635,-2.277954,1.2221804,420,10
2000-01-15,-0.095308594,-14.459625,0.9116484,420,10
2000-01-16,-0.098601066,-6.4028015,1.1169729,420,10
2000-01-17,-0.10098577,-9.577393,0.9777695,420,10
2000-01-18,-0.10282184,-14.595673,0.717855,420,10
2000-01-19,-0.10421579,-12.996307,0.7871772,420,10
2000-01-20,-0.1053538,-11.990997,0.91308844,420,10
2000-01-21,-0.10623617,-13.016571,0.8681768,420,10
2000-01-22,-0.107021615,-16.730865,0.72216237,420,10
2000-01-23,-0.10739516,-6.0351257,0.74477386,420,10
2000-01-24,-0.10750321,-4.085846,1.1268115,420,10
2000-01-25,-0.10775133,-7.0139465,0.6340766,420,10
2000-01-26,-0.1076869,-3.1769714,0.9464307,420,10
2000-01-27,-0.10800544,-8.146362,0.82638526,420,10
2000-01-28,-0.10427458,-2.6411743,0.97108126,420,10
2000-01-29,-0.08826508,-9.022217,0.96283245,420,10
2000-01-30,-0.09150279,-4.1917725,1.0906587,420,10
2000-01-31,-0.09178541,-3.6835632,1.2388291,420,10
2000-02-01,-0.09578162,-5.2301025,0.94796586,420,10
2000-02-02,-0.09880866,-5.859894,0.95950055,420,10
2000-02-03,-0.10125014,-9.714203,1.012388,420,10
2000-02-04,-0.10315273,-7.5689087,0.88769126,420,10
2000-02-05,-0.10424615,-7.0257263,0.8064561,420,10
2000-02-06,-0.10530006,-4.991333,1.4345441,420,10
2000-02-07,-0.10568145,-1.6923523,1.1721473,420,10
2000-02-08,-0.10565542,-5.344208,1.010951,420,10
2000-02-09,-0.1063397,-3.3666687,1.0281761,420,10
2000-02-10,-0.106608726,-0.7266846,0.9999089,420,10
2000-02-11,-0.102472454,1.2647095,0.8503823,420,10
2000-02-12,-0.10142391,-4.4335327,0.95236254,420,10
2000-02-13,-0.100951895,-3.2208862,0.3960395,420,10
2000-02-14,-0.076570176,3.1673584,0.4487586,420,10
2000-02-15,-0.06274335,-2.0988464,0.9077501,420,10
2000-02-16,-0.0717957,-1.4508057,0.85009813,420,10
2000-02-17,-0.07925056,-2.5193176,0.948154,420,10
2000-02-18,-0.083407305,-6.946686,0.6171925,420,10
2000-02-19,-0.08089493,-3.3127441,0.68637466,420,10
2000-02-20,-0.0782976,2.9927063,1.3871694,420,10
2000-02-21,-0.078023486,-4.636261,1.0378544,420,10
2000-02-22,-0.08400594,-0.8382263,0.9088292,420,10
2000-02-23,-0.08838931,2.2339172,1.6611304,420,10
2000-02-24,-0.091825254,0.22024536,1.5913944,420,10
2000-02-25,-0.09322888,-1.4965515,1.3060312,420,10
2000-02-26,-0.09421883,-0.8327637,1.3188539,420,10
2000-02-27,-0.09468706,-4.0626526,1.35555,420,10
2000-02-28,-0.09539915,-1.6849976,0.87995625,420,10
2000-02-29,-0.09416196,-1.3033752,1.416192,420,10
2000-03-01,-0.074841045,4.431488,1.0642629,420,10
2000-03-02,-0.06646155,1.6922913,1.2684441,420,10
2000-03-03,-0.073967,-0.49435425,1.4744592,420,10
2000-03-04,-0.08035931,1.4200134,0.9993472,420,10
2000-03-05,-0.08415625,4.0880127,1.6615138,420,10
2000-03-06,-0.08781673,2.4424133,2.2802825,420,10
2000-03-07,-0.09026654,7.3565063,1.4679394,420,10
2000-03-08,-0.08736181,5.6865845,1.0704842,420,10
2000-03-09,-0.08697976,8.613007,1.0964823,420,10
2000-03-10,-0.090492226,4.2836304,0.5521474,420,10
2000-03-11,-0.09276987,-0.20727539,1.1321731,420,10
2000-03-12,-0.0843342,2.4781494,0.8174114,420,10
2000-03-13,-0.08142773,3.664154,2.1353793,420,10
2000-03-14,-0.08583801,0.79351807,1.0382838,420,10
2000-03-15,-0.08940328,3.283966,1.9212751,420,10
2000-03-16,-0.0922565,-1.0667725,1.4804134,420,10
2000-03-17,-0.09426885,6.457306,2.5253854,420,10
2000-03-18,-0.09601047,0.067718506,1.6380634,420,10
2000-03-19,-0.09725278,-2.9736938,1.3601394,420,10
2000-03-20,-0.08618514,5.157135,0.65008545,420,10
2000-03-21,-0.077217415,1.9715271,1.0517406,420,10
2000-03-22,-0.082417995,4.6806946,1.095736,420,10
2000-03-23,-0.085434064,7.9867554,1.117713,420,10
2000-03-24,-0.0877276,8.179413,3.016162,420,10
2000-03-25,-0.09150753,8.499115,1.3387041,420,10
2000-03-26,-0.08900014,7.080475,1.8060131,420,10
2000-03-27,-0.08856313,8.138611,2.024355,420,10
2000-03-28,-0.07612835,7.0921326,1.4526834,420,10
2000-03-29,-0.071178325,0.12872314,0.88699627,420,10
2000-03-30,-0.07794302,7.046509,1.832818,420,10
2000-03-31,-0.083137825,3.894226,1.1460114,420,10
2000-04-01,-0.061812293,4.7951355,1.4936261,420,10
2000-04-02,-0.053481773,7.193695,2.0351553,420,10
2000-04-03,-0.06285734,4.8642273,1.1394362,420,10
2000-04-04,-0.06925176,7.9875183,0.89140034,420,10
2000-04-05,-0.07465122,5.0188293,1.706944,420,10
2000-04-06,-0.07970063,5.8109436,1.4979401,420,10
2000-04-07,-0.08240142,6.586975,1.5542774,420,10
2000-04-08,-0.082435496,10.998779,1.4289446,420,10
2000-04-09,-0.07973919,6.544525,1.7002964,420,10
2000-04-10,-0.08006813,9.654968,1.7421675,420,10
2000-04-11,-0.08397991,2.7759094,1.8149581,420,10
2000-04-12,-0.08650629,6.6733093,1.9655223,420,10
2000-04-13,-0.08880028,0.9808655,2.0561423,420,10
2000-04-14,-0.080663994,6.641266,1.139761,420,10
2000-04-15,-0.076447375,6.635376,1.1313753,420,10
2000-04-16,-0.07713446,11.08963,1.0196676,420,10
2000-04-17,-0.0786674,7.3260803,1.4074869,420,10
2000-04-18,-0.08150691,4.5178833,1.2267752,420,10
2000-04-19,-0.084305026,5.9911194,2.343093,420,10
2000-04-20,-0.083676025,7.877014,1.4238167,420,10
2000-04-21,-0.08444714,6.9250793,2.3366346,420,10
2000-04-22,-0.06974615,7.5433655,0.49948978,420,10
2000-04-23,-0.063352495,8.223602,1.2383556,420,10
2000-04-24,-0.06927262,7.2854614,1.4413328,420,10
2000-04-25,-0.074611254,5.6636047,2.2554765,420,10
2000-04-26,-0.07887588,4.4962463,1.1863084,420,10
2000-04-27,-0.07325327,7.720459,1.1414509,420,10
2000-04-28,-0.07176482,6.922638,1.3671436,420,10
2000-04-29,-0.07565283,8.084869,1.511054,420,10
