time,psis,tair,D,Ca,al
2000-01-01,-0.6156183,10.61377,2.5294933,420,10
2000-01-02,-0.61540145,11.547455,3.4668493,420,10
2000-01-03,-0.61825484,11.266113,2.768879,420,10
2000-01-04,-0.5518203,12.933716,2.4852104,420,10
2000-01-05,-0.5004969,12.216248,3.4979458,420,10
2000-01-06,-0.44113004,7.19928,3.1021557,420,10
2000-01-07,-0.41796827,11.374359,4.0985126,420,10
2000-01-08,-0.43233517,10.747925,1.9103994,420,10
2000-01-09,-0.43985847,11.632599,1.8083353,420,10
2000-01-10,-0.43061,11.669678,1.3476048,420,10
2000-01-11,-0.4250762,11.998901,1.362546,420,10
2000-01-12,-0.43306613,12.440674,1.5003891,420,10
2000-01-13,-0.44023573,11.465576,1.680129,420,10
2000-01-14,-0.4491709,13.641022,3.5603704,420,10
2000-01-15,-0.43332416,13.116882,2.8166409,420,10
2000-01-16,-0.4190957,12.628662,1.9866886,420,10
2000-01-17,-0.4206221,12.99054,2.368843,420,10
2000-01-18,-0.4284238,10.249573,2.6365366,420,10
2000-01-19,-0.43876797,13.392303,3.5007496,420,10
2000-01-20,-0.4461626,12.943695,1.0932875,420,10
2000-01-21,-0.4496361,11.183685,1.4268608,420,10
2000-01-22,-0.4548128,11.3237915,1.8288851,420,10
2000-01-23,-0.4626137,13.694153,4.533148,420,10
2000-01-24,-0.47283,10.692627,3.2932587,420,10
2000-01-25,-0.37228504,12.394623,1.2439451,420,10
2000-01-26,-0.3103877,9.820251,1.5138922,420,10
2000-01-27,-0.32984462,11.295502,1.2357922,420,10
2000-01-28,-0.34793383,10.991455,1.7484198,420,10
2000-01-29,-0.2318566,11.125916,2.3760138,420,10
2000-01-30,-0.17344743,12.381989,2.2479696,420,10
2000-01-31,-0.19996612,10.511475,1.7306223,420,10
2000-02-01,-0.22340971,12.906555,1.3085976,420,10
2000-02-02,-0.24794656,14.667236,5.7381954,420,10
2000-02-03,-0.27281407,12.545319,2.904356,420,10
2000-02-04,-0.28826472,14.133789,0.85560226,420,10
2000-02-05,-0.29412115,10.984741,1.2101717,420,10
