model,scenario,time,future_tair,psis,Ca,al,D
NorESM2-MM,ssp245,2000-01,11.49482451935484,-0.037650471290322576,420.0,10.0,201.57627845330458
NorESM2-MM,ssp245,2000-02,14.1874424,-0.03711491686206896,420.0,10.0,272.45526615718495
NorESM2-MM,ssp245,2000-03,15.558881835290322,-0.036790525935483875,420.0,10.0,254.42926218628236
NorESM2-MM,ssp245,2000-04,17.436665350000002,-0.02689620213333333,420.0,10.0,372.80245431433934
NorESM2-MM,ssp245,2000-05,25.495143554838705,-0.053205277354838716,420.0,10.0,644.4008449134933
NorESM2-MM,ssp245,2000-06,27.7334284,-0.0651940437,420.0,10.0,736.3322667669341
NorESM2-MM,ssp245,2000-07,30.89052041935484,-0.08516951158064516,420.0,10.0,1204.7530566678245
NorESM2-MM,ssp245,2000-08,29.300563435483873,-0.07730569783870968,420.0,10.0,1074.4752530950686
NorESM2-MM,ssp245,2000-09,25.247048466666666,-0.08179185230000001,420.0,10.0,695.1063922351725
NorESM2-MM,ssp245,2000-10,19.816817503225806,-0.09501639193548388,420.0,10.0,838.2284627146503
NorESM2-MM,ssp245,2000-11,14.091117866666666,-0.06221146103333333,420.0,10.0,300.67832161339214
NorESM2-MM,ssp245,2000-12,3.046835363548387,-0.033407611387096775,420.0,10.0,136.11540219415224
NorESM2-MM,ssp245,2001-01,8.40656183032258,-0.022084291967741938,420.0,10.0,164.07872236919545
NorESM2-MM,ssp245,2001-02,13.085446971428572,-0.018121422999999998,420.0,10.0,181.92758545168735
NorESM2-MM,ssp245,2001-03,12.971378251612903,-0.011903030322580646,420.0,10.0,291.1338450950074
NorESM2-MM,ssp245,2001-04,21.5029587,-0.014966032466666666,420.0,10.0,551.3124152540096
NorESM2-MM,ssp245,2001-05,23.237089867741936,-0.03147214825806451,420.0,10.0,682.7416181142437
NorESM2-MM,ssp245,2001-06,26.44779103333333,-0.029424434633333333,420.0,10.0,485.3596453221077
NorESM2-MM,ssp245,2001-07,27.702762530645163,-0.03134837664516129,420.0,10.0,527.5346316172022
