model,scenario,time,future_tair,psis,Ca,al,D
NorESM2-MM,ssp245,2000-01,12.400534438709677,-0.42590493451612904,420.0,10.0,2154.6392979140965
NorESM2-MM,ssp245,2000-02,12.688881603103448,-0.14676673868965515,420.0,10.0,1632.484491354179
NorESM2-MM,ssp245,2000-03,15.404716293548386,-0.07682838664516128,420.0,10.0,3396.604329008819
NorESM2-MM,ssp245,2000-04,12.555337566666667,-0.09593915830000001,420.0,10.0,3340.870765165617
NorESM2-MM,ssp245,2000-05,15.604314009677418,-0.1352905989032258,420.0,10.0,4828.497342475856
NorESM2-MM,ssp245,2000-06,17.041109263333333,-0.224929573,420.0,10.0,5150.767346768142
NorESM2-MM,ssp245,2000-07,18.723440832258063,-0.31017887354838714,420.0,10.0,6315.380877673878
NorESM2-MM,ssp245,2000-08,15.160697761290326,-0.4402379522580645,420.0,10.0,5384.646509249274
NorESM2-MM,ssp245,2000-09,17.522560619333333,-0.49479575433333334,420.0,10.0,4837.555673687816
NorESM2-MM,ssp245,2000-10,17.120632035483872,-0.39959390741935485,420.0,10.0,3388.5126728197524
NorESM2-MM,ssp245,2000-11,12.038853916666666,-0.45790008600000004,420.0,10.0,3466.4759369236763
NorESM2-MM,ssp245,2000-12,12.025158279032258,-0.48477100064516127,420.0,10.0,3237.618597011966
NorESM2-MM,ssp245,2001-01,9.25523131096774,-0.2010939452903226,420.0,10.0,2412.6854068678417
NorESM2-MM,ssp245,2001-02,14.699692814285715,-0.11073245910714287,420.0,10.0,2614.0522470005594
NorESM2-MM,ssp245,2001-03,14.324637245161291,-0.06893922151612902,420.0,10.0,2558.6914812404057
NorESM2-MM,ssp245,2001-04,10.773259503333334,-0.08124671623333332,420.0,10.0,2625.2379163157802
NorESM2-MM,ssp245,2001-05,14.014943751612902,-0.16041826096774192,420.0,10.0,4888.301941675861
NorESM2-MM,ssp245,2001-06,18.4869576,-0.26806421733333335,420.0,10.0,7100.136790819859
NorESM2-MM,ssp245,2001-07,16.76705926935484,-0.35746258774193546,420.0,10.0,5237.988992563195
NorESM2-MM,ssp245,2001-08,16.03406743870968,-0.44860760516129033,420.0,10.0,5275.200315003421
NorESM2-MM,ssp245,2001-09,19.747339766666666,-0.5203402053333334,420.0,10.0,5703.965290878496
NorESM2-MM,ssp245,2001-10,19.777120283870968,-0.5489438083870968,420.0,10.0,5405.580656850076
NorESM2-MM,ssp245,2001-11,15.311383000000001,-0.22843770666666666,420.0,10.0,2500.0966825244477
NorESM2-MM,ssp245,2001-12,9.776439034193547,-0.2355147012903226,420.0,10.0,1768.9657591791465
NorESM2-MM,ssp245,2002-01,10.908918761290323,-0.19312651225806451,420.0,10.0,2794.8693013553957
NorESM2-MM,ssp245,2002-02,11.366207675714286,-0.18737106035714285,420.0,10.0,3075.4702970049757
NorESM2-MM,ssp245,2002-03,11.913222783870967,-0.2067296577419355,420.0,10.0,2594.3619914654664
NorESM2-MM,ssp245,2002-04,15.427328633333333,-0.2527962396666667,420.0,10.0,3205.564998159423
NorESM2-MM,ssp245,2002-05,15.04563449032258,-0.3324621677419355,420.0,10.0,4270.512001404137
NorESM2-MM,ssp245,2002-06,15.018557733333333,-0.409820557,420.0,10.0,5196.289096726803
NorESM2-MM,ssp245,2002-07,19.912527693548387,-0.5550899312903226,420.0,10.0,7527.230396255428
NorESM2-MM,ssp245,2002-08,18.902651751612904,-0.6878651161290322,420.0,10.0,6662.581200158961
NorESM2-MM,ssp245,2002-09,17.470654233333335,-0.7202505739999999,420.0,10.0,6699.272068982324
NorESM2-MM,ssp245,2002-10,15.77422889032258,-0.774920034516129,420.0,10.0,4805.271076903935
NorESM2-MM,ssp245,2002-11,15.823454733333332,-0.432880841,420.0,10.0,6214.897157553256
NorESM2-MM,ssp245,2002-12,11.196444592903225,-0.14604836983870967,420.0,10.0,2037.8814459705482
NorESM2-MM,ssp245,2003-01,15.047284429032258,-0.19047852774193547,420.0,10.0,4169.998149958033
NorESM2-MM,ssp245,2003-02,13.145172135714287,-0.14287250999999998,420.0,10.0,3276.2147706859923
NorESM2-MM,ssp245,2003-03,13.816054822580645,-0.1440642935483871,420.0,10.0,3545.5899873192407
NorESM2-MM,ssp245,2003-04,13.650864766666666,-0.15180190563333334,420.0,10.0,2943.8256757377976
NorESM2-MM,ssp245,2003-05,13.070931803225807,-0.19605132096774194,420.0,10.0,4266.314606231092
NorESM2-MM,ssp245,2003-06,15.619226043333335,-0.29536782766666664,420.0,10.0,5213.32613763607
NorESM2-MM,ssp245,2003-07,16.246909751612904,-0.4523942287096774,420.0,10.0,7377.6118288307225
NorESM2-MM,ssp245,2003-08,19.263843087096774,-0.5720994609677419,420.0,10.0,7086.194566318331
NorESM2-MM,ssp245,2003-09,17.803194266666665,-0.69686016,420.0,10.0,6917.01361403822
NorESM2-MM,ssp245,2003-10,15.678520917741935,-0.7114745658064516,420.0,10.0,6066.879109900374
NorESM2-MM,ssp245,2003-11,14.603169833333334,-0.480105175,420.0,10.0,3909.8788867482904
NorESM2-MM,ssp245,2003-12,10.954953170193548,-0.2935172683870968,420.0,10.0,2706.8271910305775
NorESM2-MM,ssp245,2004-01,7.299855919354839,-0.2879734061290322,420.0,10.0,2211.509694078745
NorESM2-MM,ssp245,2004-02,9.775303293103448,-0.20427524531034483,420.0,10.0,1981.0638234165167
NorESM2-MM,ssp245,2004-03,13.490074819354838,-0.16742092051612903,420.0,10.0,3825.410259663197
NorESM2-MM,ssp245,2004-04,15.978546150000001,-0.23403422266666668,420.0,10.0,4635.48579910962
NorESM2-MM,ssp245,2004-05,16.492471951612902,-0.3707092348387097,420.0,10.0,5172.703897724385
NorESM2-MM,ssp245,2004-06,16.833439133333336,-0.418051526,420.0,10.0,5629.091346554965
NorESM2-MM,ssp245,2004-07,17.75581010903226,-0.5315141370967742,420.0,10.0,5977.768264239165
NorESM2-MM,ssp245,2004-08,17.280171003225806,-0.6719257477419355,420.0,10.0,6103.508903259452
NorESM2-MM,ssp245,2004-09,23.91045833333333,-0.7831788753333334,420.0,10.0,10052.150124368007
NorESM2-MM,ssp245,2004-10,19.215378241935483,-0.7281407448387097,420.0,10.0,4223.6783745664425
NorESM2-MM,ssp245,2004-11,13.976425249999998,-0.3042324203333333,420.0,10.0,3865.981578121064
NorESM2-MM,ssp245,2004-12,10.379727288387096,-0.2509219273225807,420.0,10.0,2792.507791847242
