model,scenario,time,future_tair,psis,Ca,al,D
NorESM2-MM,ssp585,2000-01,24.10508601612903,-1.0589737661290324,420.0,10.0,7850.281757684038
NorESM2-MM,ssp585,2000-02,24.388462275862068,-1.6511128586206896,420.0,10.0,8157.602656470631
NorESM2-MM,ssp585,2000-03,27.369326612903226,-2.216845574193548,420.0,10.0,9438.358097613407
NorESM2-MM,ssp585,2000-04,27.72874903333333,-2.028764821,420.0,10.0,10455.865034154158
NorESM2-MM,ssp585,2000-05,30.280452622580643,-3.825631958064516,420.0,10.0,12183.872658346316
NorESM2-MM,ssp585,2000-06,30.6242089,-1.6644695813333332,420.0,10.0,9572.06736264245
NorESM2-MM,ssp585,2000-07,31.942717441935486,-1.0614653248387096,420.0,10.0,10124.210004346422
NorESM2-MM,ssp585,2000-08,31.33354912903226,-0.7385000548387096,420.0,10.0,9632.860371634935
NorESM2-MM,ssp585,2000-09,32.216923433333335,-0.7360653546666666,420.0,10.0,8302.488918111983
NorESM2-MM,ssp585,2000-10,29.503071396774192,-0.5079262993548387,420.0,10.0,9669.64380289082
NorESM2-MM,ssp585,2000-11,26.273964733333333,-1.4642776833333333,420.0,10.0,8886.208802483095
NorESM2-MM,ssp585,2000-12,23.857615832258062,-1.209745677419355,420.0,10.0,6936.412936999221
NorESM2-MM,ssp585,2001-01,21.12907450967742,-2.061493270967742,420.0,10.0,7332.76004989344
NorESM2-MM,ssp585,2001-02,27.138871671428575,-2.9508562821428574,420.0,10.0,8154.851896712736
NorESM2-MM,ssp585,2001-03,26.9581515,-2.239365537419355,420.0,10.0,9638.516311595136
NorESM2-MM,ssp585,2001-04,27.8531334,-4.23556568,420.0,10.0,10811.24660529938
NorESM2-MM,ssp585,2001-05,28.662383048387095,-1.7393377596774193,420.0,10.0,9587.83136336962
NorESM2-MM,ssp585,2001-06,30.95850163333333,-1.8127693379999998,420.0,10.0,10365.604717305792
NorESM2-MM,ssp585,2001-07,31.38011207419355,-0.6484331983870968,420.0,10.0,8728.667299345148
NorESM2-MM,ssp585,2001-08,33.067323903225805,-0.6360538351612903,420.0,10.0,9981.39334952047
NorESM2-MM,ssp585,2001-09,31.362955099999997,-0.3805491543333333,420.0,10.0,7587.23826569115
NorESM2-MM,ssp585,2001-10,29.438271800000003,-0.3711211829032258,420.0,10.0,7488.89030149596
NorESM2-MM,ssp585,2001-11,27.9311782,-0.532103337,420.0,10.0,8680.245686509385
NorESM2-MM,ssp585,2001-12,25.751996458064514,-0.6978805738709678,420.0,10.0,7735.290817938729
NorESM2-MM,ssp585,2002-01,24.929703054838708,-0.9587618535483872,420.0,10.0,7753.183077794954
NorESM2-MM,ssp585,2002-02,25.10683146428571,-0.9431424485714286,420.0,10.0,8009.201750020934
NorESM2-MM,ssp585,2002-03,27.512452200000002,-1.4579321429032257,420.0,10.0,8528.585397397494
NorESM2-MM,ssp585,2002-04,28.4488743,-2.5585119666666665,420.0,10.0,10831.349579160233
NorESM2-MM,ssp585,2002-05,29.58549849354839,-2.768485135483871,420.0,10.0,9570.938558649872
NorESM2-MM,ssp585,2002-06,29.323718633333332,-0.5364056123333333,420.0,10.0,6515.538375848427
NorESM2-MM,ssp585,2002-07,31.102230870967745,-0.4806922196774193,420.0,10.0,8559.818898455436
NorESM2-MM,ssp585,2002-08,31.619012548387097,-0.5313495267741936,420.0,10.0,9127.198338771444
NorESM2-MM,ssp585,2002-09,32.7811303,-0.42027224166666666,420.0,10.0,7981.624280895331
NorESM2-MM,ssp585,2002-10,30.99278601935484,-0.5822525435483871,420.0,10.0,8740.318251982586
NorESM2-MM,ssp585,2002-11,25.446842733333334,-0.743246547,420.0,10.0,8264.301397055207
NorESM2-MM,ssp585,2002-12,24.154982993548387,-0.9542711764516129,420.0,10.0,7113.764305739696
NorESM2-MM,ssp585,2003-01,20.26628737419355,-1.3200348806451612,420.0,10.0,6859.7847781639075
NorESM2-MM,ssp585,2003-02,25.263006142857144,-1.4782139714285714,420.0,10.0,6559.51969721444
NorESM2-MM,ssp585,2003-03,28.226406977419355,-1.463302215483871,420.0,10.0,7514.42779742275
NorESM2-MM,ssp585,2003-04,27.035316333333334,-2.07360285,420.0,10.0,9509.46882431883
NorESM2-MM,ssp585,2003-05,29.796377787096773,-0.8047088048387098,420.0,10.0,8639.637086245933
