time,desoto_rh,amazon_rh,sb_rh,harvard_rh
2000-01,0.85149926,0.7387382,0.8504743,0.73807824
2000-02,0.8317361,0.7330805,0.8888348,0.7995879
2000-03,0.85616046,0.7411106,0.80606765,0.83075726
2000-04,0.81297314,0.7191606,0.7704989,0.8496531
2000-05,0.8026067,0.7176144,0.7278184,0.88469017
2000-06,0.80227876,0.78246516,0.7350504,0.8566411
2000-07,0.73033494,0.7865221,0.70778084,0.8688251
2000-08,0.7365482,0.7897494,0.6877014,0.87263095
2000-09,0.7839136,0.82762486,0.7586229,0.8240196
2000-10,0.6376656,0.7656591,0.8265744,0.81285775
2000-11,0.8131429,0.74005544,0.75364083,0.82018214
2000-12,0.821086,0.76569724,0.76969767,0.72924536
2001-01,0.8513188,0.7076757,0.7935708,0.80258316
2001-02,0.8792903,0.77327764,0.8438205,0.7503287
2001-03,0.80538505,0.7291734,0.8433772,0.83277744
2001-04,0.78519434,0.711714,0.7971076,0.83417594
2001-05,0.7605965,0.7560818,0.6947108,0.866378
2001-06,0.85946727,0.76887894,0.6665713,0.833734
2001-07,0.8580918,0.8099877,0.72584003,0.814012
2001-08,0.8830085,0.8024457,0.7107007,0.8672165
2001-09,0.860921,0.83467424,0.7523747,0.83685374
2001-10,0.73602515,0.8178305,0.76576144,0.7829653
2001-11,0.77575845,0.76958823,0.85639673,0.824566
2001-12,0.8732808,0.76663274,0.8538624,0.83069533
2002-01,0.87404585,0.7543821,0.7859391,0.82612985
2002-02,0.7730904,0.7489341,0.7714923,0.8194066
2002-03,0.8517309,0.7680148,0.8140871,0.84941804
2002-04,0.842757,0.7210137,0.8172406,0.8440607
2002-05,0.8246957,0.76914895,0.75047886,0.8459715
2002-06,0.85336685,0.8404579,0.69585717,0.88930154
2002-07,0.8855325,0.8106974,0.67655045,0.83759826
2002-08,0.8878338,0.8039863,0.69514805,0.8429268
2002-09,0.9143526,0.83946776,0.6646327,0.8484137
2002-10,0.90814984,0.8054979,0.7320587,0.821232
2002-11,0.8545035,0.7461206,0.65454775,0.86763847
2002-12,0.87102425,0.7639572,0.84687084,0.81068474
2003-01,0.7859598,0.7116115,0.75637764,0.7677865
2003-02,0.89941037,0.79627883,0.7834686,0.7645696
2003-03,0.888012,0.80393165,0.77568877,0.8885101
2003-04,0.8287154,0.73400635,0.8117478,0.86667657
2003-05,0.8718041,0.7941231,0.7166595,0.9020966
2003-06,0.90480644,0.8242378,0.7064063,0.87779975
2003-07,0.89924675,0.80163026,0.6008588,0.87237954
2003-08,0.88491285,0.815356,0.6829851,0.89834887
2003-09,0.84785014,0.82243246,0.66091764,0.8896271
2003-10,0.7759626,0.7842917,0.65963274,0.8279637
2003-11,0.80468804,0.78107613,0.76493967,0.8470516
2003-12,0.8355367,0.7423066,0.79331607,0.8177565
2004-01,0.8332542,0.74270886,0.7838939,0.6989747
2004-02,0.8787155,0.77584773,0.8363281,0.73780864
2004-03,0.79449683,0.7034631,0.75279737,0.86002606
2004-04,0.7714554,0.6980018,0.74488044,0.84462845
2004-05,0.8339197,0.7378452,0.72449064,0.8965761
2004-06,0.8882368,0.7971611,0.7066082,0.84609616
2004-07,0.867091,0.7901475,0.70608497,0.90967995
2004-08,0.82732475,0.8133175,0.6907571,0.9158501
2004-09,0.8092239,0.8403034,0.661528,0.8763825
2004-10,0.8353214,0.7899399,0.8104743,0.8580693
2004-11,0.8731342,0.7602681,0.7579535,0.8160133
2004-12,0.8219427,0.76305544,0.7784402,0.87225217
2005-01,0.86335063,0.77041554,0.9074236,0.8227504
2005-02,0.8638095,0.75322634,0.9017943,0.843255
2005-03,0.84644884,0.75025386,0.84585804,0.8731637
2005-04,0.81235355,0.70747435,0.77371633,0.86008996
2005-05,0.77940416,0.7926566,0.767507,0.8963361
2005-06,0.8314111,0.86391073,0.7507156,0.90698606
2005-07,0.89796025,0.8116345,0.6806877,0.88006586
2005-08,0.8867324,0.7999328,0.6628705,0.8661858
2005-09,0.81923574,0.81039983,0.6791007,0.83804625
2005-10,0.7281018,0.82844436,0.69691974,0.87574136
2005-11,0.75774264,0.7985183,0.63942796,0.8295368
2005-12,0.8098294,0.7669346,0.74328667,0.79841816
2006-01,0.8610758,0.76173574,0.78243256,0.8715438
2006-02,0.8206763,0.72944885,0.705238,0.75013787
2006-03,0.7953181,0.69541603,0.8585157,0.75145453
2006-04,0.80194885,0.7153233,0.858405,0.81387764
2006-05,0.82123977,0.71326935,0.717258,0.8895114
