tas_anomaly,model,scenario,year,month
-4.289473,E3SM-1-1,ssp245,1850,1
-4.6705766,E3SM-1-1,ssp245,1850,2
-2.3356767,E3SM-1-1,ssp245,1850,3
-3.5380387,E3SM-1-1,ssp245,1850,4
-1.2182755,E3SM-1-1,ssp245,1850,5
-2.1969132,E3SM-1-1,ssp245,1850,6
-1.3273149,E3SM-1-1,ssp245,1850,7
-1.0408158,E3SM-1-1,ssp245,1850,8
-1.7813554,E3SM-1-1,ssp245,1850,9
-2.1808305,E3SM-1-1,ssp245,1850,10
-0.7657304,E3SM-1-1,ssp245,1850,11
-0.5088029,E3SM-1-1,ssp245,1850,12
-1.4772782,E3SM-1-1,ssp245,1851,1
-1.8092484,E3SM-1-1,ssp245,1851,2
0.82393026,E3SM-1-1,ssp245,1851,3
-2.5179582,E3SM-1-1,ssp245,1851,4
0.68916464,E3SM-1-1,ssp245,1851,5
-1.13481,E3SM-1-1,ssp245,1851,6
-2.755568,E3SM-1-1,ssp245,1851,7
-1.1429276,E3SM-1-1,ssp245,1851,8
-1.4732499,E3SM-1-1,ssp245,1851,9
-3.7341752,E3SM-1-1,ssp245,1851,10
-2.5557694,E3SM-1-1,ssp245,1851,11
-2.1055436,E3SM-1-1,ssp245,1851,12
-1.3985734,E3SM-1-1,ssp245,1852,1
-2.1955705,E3SM-1-1,ssp245,1852,2
-1.9141984,E3SM-1-1,ssp245,1852,3
0.33149862,E3SM-1-1,ssp245,1852,4
-4.0358415,E3SM-1-1,ssp245,1852,5
-3.141005,E3SM-1-1,ssp245,1852,6
-0.50666666,E3SM-1-1,ssp245,1852,7
-1.2548966,E3SM-1-1,ssp245,1852,8
-1.3948197,E3SM-1-1,ssp245,1852,9
-0.56779337,E3SM-1-1,ssp245,1852,10
-4.094588,E3SM-1-1,ssp245,1852,11
-0.83665323,E3SM-1-1,ssp245,1852,12
-3.840407,E3SM-1-1,ssp245,1853,1
-0.92399454,E3SM-1-1,ssp245,1853,2
-0.83738565,E3SM-1-1,ssp245,1853,3
-1.6584611,E3SM-1-1,ssp245,1853,4
-3.935225,E3SM-1-1,ssp245,1853,5
-4.3874955,E3SM-1-1,ssp245,1853,6
-1.0691056,E3SM-1-1,ssp245,1853,7
-2.961409,E3SM-1-1,ssp245,1853,8
-1.2811112,E3SM-1-1,ssp245,1853,9
-0.033796787,E3SM-1-1,ssp245,1853,10
-0.8346696,E3SM-1-1,ssp245,1853,11
-4.1392045,E3SM-1-1,ssp245,1853,12
-4.4020524,E3SM-1-1,ssp245,1854,1
-0.24473429,E3SM-1-1,ssp245,1854,2
-4.1386247,E3SM-1-1,ssp245,1854,3
-1.2421098,E3SM-1-1,ssp245,1854,4
0.047593594,E3SM-1-1,ssp245,1854,5
0.45451498,E3SM-1-1,ssp245,1854,6
-3.5003495,E3SM-1-1,ssp245,1854,7
-2.192,E3SM-1-1,ssp245,1854,8
-1.3610673,E3SM-1-1,ssp245,1854,9
-2.1175065,E3SM-1-1,ssp245,1854,10
-1.0439286,E3SM-1-1,ssp245,1854,11
-1.0036759,E3SM-1-1,ssp245,1854,12
-3.146834,E3SM-1-1,ssp245,1855,1
-4.2029862,E3SM-1-1,ssp245,1855,2
-4.23741,E3SM-1-1,ssp245,1855,3
-1.1872392,E3SM-1-1,ssp245,1855,4
-3.2628922,E3SM-1-1,ssp245,1855,5
-0.6484513,E3SM-1-1,ssp245,1855,6
-0.99986124,E3SM-1-1,ssp245,1855,7
-2.2291703,E3SM-1-1,ssp245,1855,8
-1.764113,E3SM-1-1,ssp245,1855,9
-0.17710733,E3SM-1-1,ssp245,1855,10
0.2831893,E3SM-1-1,ssp245,1855,11
-0.7559037,E3SM-1-1,ssp245,1855,12
-2.1514115,E3SM-1-1,ssp245,1856,1
-1.5288529,E3SM-1-1,ssp245,1856,2
-2.159102,E3SM-1-1,ssp245,1856,3
-3.4276261,E3SM-1-1,ssp245,1856,4
-1.6859574,E3SM-1-1,ssp245,1856,5
-1.9904008,E3SM-1-1,ssp245,1856,6
-1.4191728,E3SM-1-1,ssp245,1856,7
-3.2020097,E3SM-1-1,ssp245,1856,8
-3.3996415,E3SM-1-1,ssp245,1856,9
-1.2119889,E3SM-1-1,ssp245,1856,10
1.8366561,E3SM-1-1,ssp245,1856,11
-1.5721574,E3SM-1-1,ssp245,1856,12
-2.5373979,E3SM-1-1,ssp245,1857,1
-2.5172868,E3SM-1-1,ssp245,1857,2
-2.2263627,E3SM-1-1,ssp245,1857,3
-3.5295854,E3SM-1-1,ssp245,1857,4
-2.0693498,E3SM-1-1,ssp245,1857,5
